worker_location,Skill,Price,SuccessRate
United States,"Label and Package Design,Corporate BrandingOffset printing,Layout Design,Brand Identity & Guidelines,Product Label,Packaging Design,Infographic,Brand Marketing,Logo Design",60,99
Pakistan,"Financial Analysis,SEOData Analytics,Customer Support,Facebook Ads Manager,Google AdWords Development,Grant & Market Research,Instagram Ad Campaign,Market Analysis,B2B Marketing",13,100
Spain,"Graphic Design,Logo DesignAdobe Illustrator,Adobe Photoshop,Packaging Design,Presentation Design,Label and Package Design,Corporate Brand Identity,Amazon FBA,Creative & Talent",20,93
Brazil,"Alibaba Sourcing,International SalesSourcing,Virtual Assistant,Translation English Chinese,Chinese - Mandarin,Chinese - Cantonese,Language Tutor,Marketing & Sales,AIMS (Audit & Inspection Management System) Chameleon",15,84
Czech Republic,"Intuit QuickBooks,Microsoft ExcelXero,Accounts Receivable,Profit & Loss Statements,Balance Sheets,Tax Returns,US Taxation,Sales Taxes,Inventory Management",29.99,100
Ukraine,"Lead Generation,Internet ResearchData Extraction,Microsoft Excel,Data Analysis,Data Entry,PDF Conversion,Game Testing,Email Marketing,Data Scraping",3.75,80
China,"Adobe Photoshop,Adobe IllustratorLogo Design,Infographics,Magazine Layout,Brochure Design,T-Shirt Design,PSD to HTML,Pitch Deck,Microsoft PowerPoint",15,88
Pakistan,"Autodesk 3ds Max,V-Ray3D Rendering,Virtual Reality,3D Printing,3D Animation,3D Modeling,Adobe Photoshop,Adobe After Effects,Unity",75,99
Philippines,"Autodesk 3D Studio Max,3D DesignArchitectural Design,MarvelousDesigner,SketchUp,Exterior Rendering,Interior Architecture,Architectural Rendering,Photorealistic Rendering,3D Rendering",25,100
India,"Adobe Illustrator,Adobe InDesignAdobe Photoshop,Adobe After Effects,CorelDRAW,Adobe Photoshop Lightroom,SAI",33,71
United States,"Adobe Photoshop,Adobe IllustratorAdobe InDesign,Infographics,Microsoft PowerPoint,Video Editing,Keynote,Prezi,Logo Design",50,98
Serbia,"Illustration,ArtsDigital Design,Adobe Photoshop,Adobe Illustrator,Photo Editing,Tattoo Design,Logo Design,Animation",10,80
Ukraine,"Web Design,Website DevelopmentWordPress,Responsive Web Design,User Interface Design,Graphic Design,PSD to Wordpress,Web Programming,Mobile UI Design,Mobile App Development",70,100
United States,"Graphic Design,Adobe IllustratorPackaging,Adobe Photoshop,Line Drawing,Digital Illustration,Watercolor Painting,Illustration,Watercolor,UI Graphics",25,100
Ukraine,"Web Design,Photo EditingCharacter Design,Game Design,User Interface Design,Print Design,Brand Identity,Social Media Design,UI Graphics",75,100
United States,"Voice Over Australian Accent,Female Voice OverCopywriting,Audio Production,Narration,Copyediting,Website Copywriting",70,94
Ukraine,"Communications,Voice Over American Accentnan",50,76
Romania,"C#,ASP.NET MVCXamarin,.NET Framework,React Native,JavaScript,Ionic Framework,jQuery,AngularJS,Ruby on Rails",80,97
Australia,"Book Cover Design,eBook DesignBook,KDP,mobi,ePub,Apple iBooks,PDF Conversion,Layout Design,Typesetting",27,94
United States,"Microsoft PowerPoint,Presentation DesignPresentation,Google Slides,Pitch Deck,Management Consulting,Sales Presentation,Sales,Business Consulting,Pitch Deck",58.5,100
United States,"Microsoft Word,Teaching FrenchPDF Conversion,MS Excel,Data Entry,Data Recovery,Data Cleansing,Data Mining,Editing & Proofreading,Internet Research",6,100
Ukraine,"Adobe Photoshop,Adobe AcrobatAdobe PDF,Adobe Illustrator,Adobe InDesign,CorelDRAW,Microsoft PowerPoint",28,100
India,"Autodesk AutoCAD,SketchUpV-Ray,Architecture Design,Architectural Rendering,3D Modeling,CAD Drafting,Residential Remodeling,Lumion,3D Visualization",20,95
Morocco,"Adobe After Effects,Maxon Cinema 4DAdobe Illustrator,Animation,2D Animation,Video Production,Explainer Video,Lottie,Octane Render,Pitch Deck",70,
Cote d'Ivoire,"Songwriting,Sound RecordingMusical Composition,Music Arrangement,Sound Editing,Music Producing",30,100
Ukraine,"Creative Writing,EditingProofreading,Copywriting,Screenwriting,Copyediting,Advertising,Content Writing,Scriptwriting,Ghostwriting",105,92
Indonesia,"Copywriting,Sales LettersEmail Marketing,Video Sales Letter,Marketing Strategy,Sales Writing,Business Coaching,B2B Marketing,Strategic Planning,Selling",250,36
Latvia,"SEO,Digital StrategyLead Generation,Search Engine Marketing,Email Marketing,SEO Backlinking,SEO Audit,PPC Campaign Setup & Management,Marketing Automation,SEO Writing",75,
United Kingdom,"Mobile UI Design,User Experience DesignUX/UI,UI Graphics,UI/UX Prototyping,iPhone UI Design,SaaS,Web Apps,Web UI,Web Design",35,85
United Kingdom,"Graphic Design,IllustrationArt Direction,Print Design,Logo Design,User Interface Design,Web Design,Infographics,User Experience Design,2D Animation",180,100
United States,"Video Editing,VideographyVideo Production,Audio Editing,Mastering,Audio Restoration,Audio Postediting,Audio Design,Adobe Premiere",25,100
United States,"Video Editing,Audio EditingAnimation,Video Production,Adobe Premiere Pro,Adobe Photoshop,Adobe After Effects",25,95
Ukraine,"Web Design,Graphic DesignUser Interface Design,Microsoft PowerPoint,Figma,Presentation,Branding,Logo Design,Print Design,Pitch Deck",28,97
Canada,"Financial Analysis,Business ValuationFinancial Forecasting,Business Plan,Financial Modeling,Microsoft Excel,Accounting,SaaS,Venture Capital Consulting,Startup Consulting",35,83
Ukraine,"CAD,SketchUpDIALux Evo,Autodesk Revit,Dialux,Adobe Photoshop,Adobe InDesign,3D Animation",15,
Greece,"Voice Over American Accent,Male Voice OverVoice Over Spanish",100,100
Ukraine,"JavaScript,PHPWordPress,WooCommerce,Node.js,MySQL,Shopify,WordPress Plugin,Wordpress Theme,REST",30,100
Pakistan,"Autodesk 3ds Max,Adobe IllustratorAdobe Photoshop,Rhinoceros 3D,SolidWorks,Pixologic Zbrush,3D Modeling,CATIA,CorelDRAW,Calligraphy",50,100
United Arab Emirates,"Adobe After Effects,Adobe PhotoshopAdobe Illustrator,Maxon Cinema 4D,Moho,TVPaint",30,98
United States,"eBook Design,mobiePub,marker,firebird,marker",12,100
Ukraine,"Sourcing,Supply Chain ManagementPrice/Quote Negotiation,Market Research,Logistics & Shipping",39.9,92
Armenia,"3D Rendering,Autodesk AutoCAD3D Max,Adobe Photoshop,V-Ray,Corona Renderer,SketchUp,3D Modeling,3D Visualization,3D Animation",60,95
Ukraine,"Writing,BookDesktop Publishing,Whitepaper Writing,Book Editing,Article Rewriting,Copyediting,Ghostwriting,Cryptocurrency,Proofreading",50,97
India,"Adobe Photoshop,Adobe Photoshop LightroomPhotography,Photo Editing,Digital Art,Photo Restoration,Retouching,Photo Restoration,Image Editing",12,100
China,"Autodesk AutoCAD,Architectural DesignFloor Plan Design,CAD Drafting,2D Drafting,2D Design/Drawings,Drafting,Architecture,Structural Engineering,Real Estate",15,100
Germany,"Data Engineering,Appointment SettingEmail Handling,Administrative Support,Virtual Assistant,Data Encoding,Microsoft Excel,Executive Assistant,Web Scraper,Shopify",7,67
Canada,"2D Design,Adobe IllustratorAdobe Photoshop,Adobe InDesign,Logo Design,Illustration,T-Shirt Design,Retouching,Photo Editing",12,97
Venezuela,"Adobe Photoshop,Adobe InDesignAdobe Illustrator,Adobe Dreamweaver,Creativity,Illustration,Infographic,Adobe After Effects,Branding,Motion Design",25,79
Egypt,"Salesforce,Salesforce CRMSalesforce Lightning,Salesforce Sales Cloud,Pardot,Pardot Development,Pardot Administration,Salesforce Service Cloud,Salesforce Marketing Cloud,Salesforce App Development",45,100
Philippines,"Adobe Photoshop,Adobe Photoshop LightroomPhoto Editing,Retouching,Photo Manipulation,Image Processing,Amazon,Product Listing,Fashion Retouch,Clipping Path",10,100
Philippines,"Customer Support,Customer ServiceMS Excel,Management Skills,Communication Etiquette,Problem Solving,Leadership,NPS,KPI Metric Development,Telemarketing",8,100
Ukraine,"Manual Testing,Regression TestingUsability Testing,Integration Testing,Selenium WebDriver,Mobile App Testing,Java,Ruby,User Acceptance Testing,Game Testing",25,90
United States,"Article Writing,Blog WritingWriting,Content Writing,Copywriting,Content Marketing,SEO Writing,Blog Development,Lead Generation,Inbound Marketing",75,88
United States,"Virtual Assistant,Technical WritingBusiness Proposal Writing,Social Media Management,Proofreading,Microsoft PowerPoint,Chemical Engineering,Research Papers,Marketing Research,Academic Writing",30,96
United States,"Functional Testing,Test CasesWeb Testing,Cross-Browser Testing,Mobile App Testing,Software QA Testing,Regression Testing,Usability Testing,Bug Report Documentation,Game Testing",30,100
Ukraine,"Graphic Design,Corporate Brand IdentityLogo Design,Branding,Corporate Branding,Logo,Branding Strategy,Logo,Brand Identity & Guidelines,Brand Guidelines",90,100
Egypt,"Adobe Photoshop,Logo DesignArt Direction,Corporate Brand Identity,User Experience Design,GUI Design,User Interface Design,Brand Marketing,Graphic Design,iPhone UI Design",40,96
Ukraine,"Autodesk 3ds Max,3D AnimationUnreal Engine,Game Design,Motion Graphics,3D Modeling,2D Animation,Digital Illustration,Animation,Graphic Design",45,100
United States,"Sound Design,NuendoAudio Production,Foley Art,Mastering,Mixing,Film Production,Music Videos,Podcast Production,Dialog Editing",40,100
Philippines,"HTML,HTML5CSS,CSS3,JavaScript,jQuery,SSL",25,100
Ukraine,"Translation,Translation English FrenchTranslation French English,Translation English Haitian Creole,Medical Transcription,English Proofreading,Photography,Retouching,Short Story Writing",20,57
United States,"Machine Learning,Artificial IntelligenceNatural Language Processing,Reinforcement Learning,Frontend Development,Data Mining,System Programming,Visualization,Mathematics,Statistics",499,100
United Kingdom,"Adobe Illustrator,Adobe InDesignAdobe Photoshop,Logo Design,Corporate Brand Identity,Brochure Design,Web Design,Print Design",18,92
Poland,"Translation,Translation Dutch EnglishVoice Over Dutch,Proofreading,Voice Talent,Voice Over English,Voice Over,Voice Acting,Voice Recording",30,100
Argentina,"Pitch Deck,Data VisualizationBusiness,Finance,Sales,Marketing,Microsoft PowerPoint,Custom Template Design,Google Slides,Keynote",105,100
Russia,"Musical Composition,Sound DesignSound Editing,Music Producing,Music Arrangement,Sound Effects,MIDI,Steinberg Cubase,Audio Design",50,97
Thailand,"Editing & Proofreading,Photo EditingVideo Editing,Sound Editing,Content Creation,Social Media Management,Flyer Design,Writing,Website Customization,Pixel Setup & Optimization",25,68
Ukraine,"Adobe Creative Suite,Desktop PublishingLabel and Package Design,Book,3D Modeling,Graphic Design,Layout Design,Logo Design,Magazine Layout,Branding",15,94
Haiti,"Architectural Design,3D ModelingInterior Design",25,100
United States,"Adobe Creative Suite,Microsoft OfficeVideo Editing,Motion Graphics,Data Entry,Virtual Assistant,Calendar Management,Microsoft Excel,WordPress,Google Docs",25,95
Ukraine,"3D Animation,3D Modeling2D Animation,Character Design",20,
United Kingdom,"Illustration,LogoUX/UI,Book,Typography,Microsoft PowerPoint,Drawing,Marketing Collateral,Brand Identity",45,83
Switzerland,"Translation English Chinese,Translation English JapaneseMale Voice Over,Trade Marketing",18,93
Canada,"Logo Design,Packaging DesignIcon Design,Graphic Design,Corporate Brand Identity,Adobe Illustrator,Adobe Photoshop,Adobe InDesign,Banner Ad Design,Prepress",55.55,95
Italy,"Graphic Design,Logo DesignMicrosoft PowerPoint,Adobe InDesign,Adobe Illustrator,CorelDRAW,Adobe Photoshop,Microsoft Word,Advertising",25,100
United States,"Microsoft PowerPoint,KeynotePresentation,Presentation Design,Animation,Adobe Photoshop,Adobe Illustrator,Microsoft Word,Microsoft Excel,Camtasia",30,97
Ukraine,"Accuracy Verification,Autodesk Robot Structural AnalysisAutodesk Revit,Tekla Structures,Autodesk AutoCAD,ETABS,Microsoft Excel",25,84
El Salvador,"Splunk,CyberARKWindows PowerShell,Automation,Microsoft Office,Regular Expressions,Web Scraper,Selenium WebDriver,Python",50,92
United States,"Autodesk 3D Studio Max,Adobe After Effects3D Animation,3D Modeling,Product Design,CGI,3D Visualization,Photorealistic Rendering,Corona Renderer,3D Rendering",20,99
Ukraine,"Banner Ad Design,Web DesignGraphic Design,User Interface Design,Mobile UI Design,Print Design,Adobe Photoshop,UX Design,UX/UI,UI/UX Prototyping",24,91
United States,"Branding,Brand Identity DesignLogo Design,Logo,UI/UX Prototyping,UX/UI,Digital Design,Web Design,Mobile App Design,Editorial Design",25,
China,"Web Design,User Experience DesignUser Interface Design,Logo Design,Banner Ad Design,Adobe Photoshop,Adobe Illustrator,InVision,Graphic Design",20,100
Argentina,"Adobe Photoshop,Adobe Photoshop LightroomEditing,Retouching,Photo Editing,Photo Manipulation,Photograph Color Correction,Pinterest,Instagram,Product Photography",15,100
Romania,"C++,PythonLinux System Administration,Java,React,Django,Algorithms,Docker,Deep Learning,Backend Rest API",45,94
Bangladesh,"Videography,PhotographyPhoto Editing,Video Editing,Graphic Design,Video Post Editing",60,100
United Kingdom,"Logo Design,Vector GraphicsBrochure Design,Adobe Photoshop,Business Card,Flyer Design,Book Cover Design,Logo,Adobe InDesign,Adobe Illustrator",25,97
India,"WordPress,HTML5CSS3,Bootstrap,JavaScript,Sass,jQuery,Tailwind CSS,Bulma,Frontend Development",22,97
Serbia,"QlikTech QlikView,CognosOracle PLSQL,Qlik Sense,Tableau,Microsoft Power BI",30,
Ukraine,"Software,Content CreationBlockchain Development,Website Development,Graphic Design,Frontend Development,WordPress,Software Development,SEO-based Website",55,80
Egypt,"Transcription,Translation English ArabicWriting,Blog Writing,Article Writing,Blogger,WordPress,Data Entry,Virtual Assistant,Presentation Design",20,94
Ukraine,"Web Design,UX/UIUI/UX Prototyping,UX,UX Design,SaaS,SAS,User Interface Design,Product,Requirements Analysis",40,92
Ukraine,"Adobe Creative Suite,Web ProgrammingWeb Design,Book,Infographics,Magazine Layout,Illustration,Presentation Design,Adobe InDesign,Business Plan or Pitch",65,90
Ukraine,"3D Modeling,3D AnimationDigital Sculpting,Autodesk Maya,Pixologic Zbrush,Character Design,3D Design,3D Rigging,Texture Mapping,3D Rendering",30,96
Russia,"Graphic Design,WebsiteCorporate Branding,Book,Marketing Collateral,Adobe Photoshop,Video Editing,Creative Direction,Adobe Creative Suite,Sales",50,89
Germany,"Adobe Photoshop,Digital Photographynan",10,99
Egypt,"Logo Design,LogoBrochure Design,Adobe Photoshop,Adobe XD,Adobe Illustrator,Adobe InDesign,Business Card,Vector Tracing,Label and Package Design",10,97
Serbia,"Layout Design,Format & LayoutAdobe InDesign,KDP,Adobe Photoshop,Adobe Illustrator,eBook Design,Lead Magnet,Editorial Design,Book",30,82
Ukraine,"Microsoft Office,Translation English ArabicData Entry,Google Search",8,100
Argentina,"Sketch,sketch appUser Interface Design,User Experience Design,Mobile UI Design,Web Design,Graphic Design,Website Wireframing,Website Prototyping,Product Design",105,95
United States,"Customer Service,Virtual AssistantInternet Research,Data Entry,Technical Support,Sales Strategy,Email Technical Support,Drop Shipping,eCommerce,Social Media Marketing",10,74
Egypt,"Adobe Photoshop,Adobe IllustratorAdobe InDesign,Microsoft PowerPoint,Keynote,Google Slides",27.99,97
Ukraine,"Zoho Creator,Zoho CRMTwilio API,Node.js,API Integration,PHP Script,Data Analysis,Business Analysis,Backend Rest API,Java EE",75,97
United States,"Layout Design,Web DesignGraphic Design,Branding Strategy,Logo Design,Brochure Design,Print Advertising,Sales & Marketing Collateral,Art Direction,Electronic Design",75,93
Armenia,"Data Entry,Translation English ArabicProduct Design,Translation Arabic English,3D Design,Teaching English,SolidWorks,Virtual Assistant,Scientific Writing",15,97
United States,"Portuguese,Spanish - Castilian (Spain)English,Medical Translation,General Office Skills,Copyediting,Teaching English,Online Community Management,Translation English Spanish,Translation Spanish English",18,97
Indonesia,"Excel VBA,Translation English RussianTranslation Russian English",20,91
Pakistan,"SEO,SEO AuditSEO Report,SEO Strategy,SEO Backlinking,On-Page SEO,Off-Page SEO,Google Search,Lead Generation,WordPress",85,100
United States,"Voice Over,Voice TalentVoice Over American Accent,Female Voice Over",35,100
Egypt,"Computer Assisted Translation (CAT),TranslationEditing & Proofreading,English Grammar,English Spelling,English Tutoring,English Punctuation,Translation Spanish English,Translation Catalan English,Translation Portuguese English",17.5,99
Spain,"Video Editing,VFX AnimationAnimation,Motion Graphics,Color Grading,Sound Design,3D Animation,DaVinci Resolve,Adobe After Effects,Adobe Premiere Pro",30,96
Philippines,"Translation English Spanish,Translation Spanish EnglishError Checking,Grammar,Punctuation,Spelling,Excel,Data Entry,Translation Portuguese English,Proofreading",13,100
Ukraine,"JavaScript,WordPressPHP,PSD to HTML,Laravel,CodeIgniter,Zend Framework,Angular,React,Vue.js",25,100
United States,"Salesforce CRM,Salesforce LightningPython,SQL,SQLite,APEX,Visualforce,HTML5,CSS3,Web Design",40,
United States,"Interior Design,Landscape DesignArchitectural Rendering,Architecture Design",37,95
Egypt,"DevOps,Amazon Web ServicesDocker,Linux System Administration,Jenkins,Continuous Integration,WordPress,Kubernetes,Amazon ECS,Odoo",38,91
Venezuela,"Retouching,Photograph Color CorrectionAdobe Photoshop,Adobe Photoshop Lightroom,Autodesk 3ds Max,Fashion Modeling,3D Modeling,MarvelousDesigner,Visualization,Unreal Engine",20,100
Russia,"HTML,CSSPage Speed Optimization,Wordpress Multisite,Wordpress Malware Removal,Wordpress Theme,WooCommerce,WordPress,WordPress Website,Performance Optimization",25,99
United States,"Voice Over British Accent,Female Voice OverItalian,Audio Editing,Audio Production,Proofreading,Content Writing,Copywriting,Webisode Presentation",75,97
United States,"Customer Support,Email HandlingCall Support,Market Research",6,
Spain,"React,Node.jsJava,JavaScript,Express,ASP.NET,Python,Git,Docker,Kubernetes",100,100
Romania,"Adobe After Effects,Adobe Premiere ProDaVinci Resolve,Adobe Photoshop,Autodesk Revit Architecture,Video Production,Video Editing,Music Video,VFX Design,VFX Animation",20,88
Germany,"Photography,Adobe Photoshop LightroomAdobe Photoshop",15,100
Russia,"Adobe Photoshop,Adobe DreamweaverAdobe Flash,Website Development,Adobe Illustrator,WordPress,WordPress e-Commerce,Mobile App Development,Brand Marketing,Graphic Design",6.67,100
United States,"Sales Letters,CopywritingSocial Media Posts,Email Copywriting,Blog Writing,Sales Copywriting,Article Writing,Blog Content,Website Content",10,64
United States,"Logo Design,Cartoon CharacterIllustrations,Realistic,Graphic Design,Digital Art,Comic Art,Adobe Photoshop,Character Design,Children's Book Illustrator",35,87
United States,"User Interface Design,User Experience DesignInteraction Design,Prototyping,Mobile UI Design,Web Design,InVision,Axure RP,Wireframing,Desktop Applications",25,100
Brazil,"Autodesk AutoCAD,SketchUpAdobe Photoshop,Adobe InDesign,Adobe Illustrator,3D Modeling,Architectural Rendering,Interior Architecture,3D Max,Autodesk Revit Architecture",40,100
Ukraine,"Archicad,Autodesk 3ds MaxAutodesk AutoCAD,Adobe Photoshop,Architectural Rendering,Architectural Design,Interior Design,Drafting,3D Rendering,3D Modeling",30,99
Ukraine,"Writing,PhotographyContent Writing,Adobe Illustrator,Microsoft Excel,Social Media Marketing,Editing,Microsoft PowerPoint,Microsoft Word,Microsoft Outlook",40,92
United Kingdom,"Translation,PresentationInterpretation,Research,Teaching English,Translation English Chinese,Translation Chinese English,Voice Over,Chinese - Cantonese,Video Editing",15,96
Philippines,"2D Design,Autodesk AutoCADAutodesk Inventor,SolidWorks,Project Management,3D Design,Drafting",60,100
Israel,"Adobe Photoshop,TextileTextile Engineering,Textile Design,Print Design,Surface Design,Design Patterns,Graphic Design,Fashion Design,Color & Trim Design",75,92
Ukraine,"Website,Adobe XDGraphic Design,UI Graphics,Brochure Design,Logo,Banner Ad Design,HTML5,WordPress Website,Squarespace",50,91
Georgia,"Voice Over,Voice TalentAudio Production,Audio Editing",187.5,99
India,"Autodesk Revit,Autodesk 3D Studio MaxAutodesk AutoCAD,Adobe Photoshop,Architecture Design,Photorealistic Rendering,3D Modeling,Interior Design,Architectural Rendering,Architecture",20,90
Nigeria,"Copywriting,EditingWriting,SEO Writing,Proofreading,Translation English Norwegian,Translation Norwegian English,Blogger,Social Media Content Creation,Content Creation",45,97
Croatia,"Adobe InDesign,Adobe IllustratorAdobe Photoshop,Illustration,Logo Design,Brochure Design,Infographics,Graphic Design",25,100
Ukraine,"Translation English Brazilian Portuguese,TranslationSubtitles,Localization,Report Writing,Translation Brazilian Portuguese English,Microsoft Excel,Live Interpreter,Office Administration,Finance",25,100
Mexico,"2D Animation,AnimationVideo Production,Video Editing,Whiteboard Animation,Character Animation,Computer Animation,Presentation,Adobe After Effects,ICO Marketing",29,98
Ukraine,"Adobe Illustrator,Adobe PhotoshopAdobe InDesign,Microsoft PowerPoint,Print Design,Infographics,Illustration,Social Media Marketing,Print Advertising,Label and Package Design",55,95
United States,"Musical Composition,Music ArrangementMusic Production,Mixing,Audio Editing,Audio Production,Instrumental,Logic Pro,Mastering,Sound Effects",20,100
United States,"Animation,CartooningWhiteboard Animation",10,89
China,"Financial Modeling,Financial PresentationsFinancial Planning,Financial Analysis,Business Valuation,Company Valuations,Valuations,Mergers & Acquisitions,Capital Markets",55,100
United States,"Transcription,Medical TranscriptionProofreading,Data Entry,Data Encoding,Internet Research,Microsoft Word,Blog Writing,Virtual Assistant,Social Media Management",5,
United States,"Wordpress Multisite,WooCommerceWordPress Plugin,Wordpress Theme,API Documentation,Twilio API,Twitter Bootstrap,Zoho CRM,phpMyAdmin,Twitter API",13.75,88
France,"Logo Design,Corporate Brand IdentityBrand Identity,Logo,Stationery,Brand Guidelines,Logo,Adobe Illustrator,Adobe Photoshop,Brand Identity & Guidelines",25,100
United States,"Website Translation,TranslationEnglish,Turkish,Arabic",25,77
Spain,"Financial Writing,CopywritingEditorial Writing",75,89
United Kingdom,"Video Production,Video EditingAdobe Premiere,Adobe After Effects,Adobe Photoshop,Adobe Premiere Pro,Motion Design,Captions,Zoom Video Conferencing,Webinar",20,100
Russia,"Adobe Photoshop,Adobe Photoshop LightroomAdobe Illustrator,Photography",35,
Brazil,"Data Entry,Web ResearchTyping,Microsoft Office,Critical Thinking,Internet Research,Compiler,Canva",6,82
Russia,"Communications,Crisis CommunicationsCorporate Communications,Communication Strategy,Science Communication,Marketing Communications,Change Communication,Public Speaking,Public Relations,Audio Production",100,97
United States,"Translation,WritingData Entry,Customer Service,Document Review,Proofreading,Microsoft Office,Transcription,Voice Talent",10,
Ukraine,"Customer Support,Data EntryFraud Mitigation,Virtual Assistant,Landing Page,internet websites,WordPress,WooCommerce,Technical,Video Editing",10,99
Uruguay,"Certified Public Accountant (CPA),Certified to File TaxesBusiness Valuation,Financial Modeling,Intuit QuickBooks,Business Analysis,Microsoft Excel,Business Plan,Litigation,Budget Planning",250,100
United States,"Adobe Creative Suite,Adobe IllustratorAdobe InDesign,Adobe Photoshop,Adobe Acrobat,Print Design,Prepress,Typesetting,Layout Design,Editorial Design",42.24,99
Philippines,"Wix,Website CustomizationWix SEO Wiz,Website",12,100
India,"Translation,TranscriptionTranscreation,Localization,Communications,Proofreading,Editing,Slovakian,Translation English Slovak,Translation Slovak English",15,100
Ukraine,"Article Writing,SEO WritingBusiness Writing,Content Strategy,Email Marketing,Sales Copywriting,Email Copywriting,Website Copywriting,Blog Content",20,89
Turkey,"Translation Spanish English,SolidWorksAutodesk AutoCAD,Translation English Spanish,Transcription,Spanish - Castilian (Spain),Proofreading,WPML,Technical Translation",18,100
Ukraine,"Retouching,Photograph Color CorrectionPhotography,Photo Editing,Photo Manipulation,Adobe Photoshop,Adobe Photoshop Lightroom,Commercial Photography,Fashion Photography,Events",25,100
United States,"Photography,Photo EditingRetouching,Adobe Photoshop,Digital Photography,Image Editing",30,100
Ukraine,"Voice Over,Voice TalentVoice Over American Accent,Voice Acting,Voice Recording",50,100
Thailand,"Voice Over,ExplainerVoice Acting,Storytelling,Audiobook/Podcast,Narration,Whiteboard Videos,Commercials,Documentary,eLearning",110,100
Philippines,"Translation,LocalizationTechnical Writing,Transcription,Proofreading,Editing,Subtitles,Website Development,Web Design,Email Technical Support",33.33,100
United States,"Logo Design,Graphic DesignCorelDRAW,Brochure Design,Adobe Photoshop,Photo Editing,Photo Manipulation,Adobe Illustrator,Social Media Content Creation,Vector Tracing",15,100
