Skill,client_location,experience,project_type
"Compliance,Finance,Corporate Finance",United Kingdom,Expert,One-time project
"Adobe After Effects,Adobe Photoshop,Motion Graphics,Graphic Design,Animation,Logo Design",United States,Expert,One-time project
"Ahrefs,SEO",United States,Intermediate,One-time project
"Facebook,Social Media Marketing,Instagram",Australia,Intermediate,One-time project
"Marketing Strategy,Web Design",United States,Expert,One-time project
"Advertising Design,Graphic Design,Adobe Illustrator",United States,Intermediate,Ongoing project
"Android App Development,Android,Navigation,TileProvider",Israel,Expert,One-time project
"Education,Adobe Illustrator,Video Editing,Adobe Photoshop,Videography,Photo Editing,Video Production,Final Cut Pro,Photography,Motion Graphics,Video Ads,Video Animation,Video Conversion,Video Color Correction,Video Design,Video Game,Video Game Music,Adobe Premiere Pro,Cartoon Animator",Canada,Intermediate,Ongoing project
"Content Writing,Creative Writing,Blog Content,Writing",United States,Intermediate,Ongoing project
"Finance,Communications",United States,Intermediate,Ongoing project
"Social Media Marketing,Instagram,Facebook,Social Media Advertising,Retargeting,Facebook Advertising",United States,Intermediate,Complex project
"Graphic Design,Layout Design,Brochure,Corporate Brand Identity,Business Presentation,Infographics",United States,Expert,Ongoing project
"Software Design,Prototype,Mockup,Adobe XD,Web Design",United States,Entry level,One-time project
Motion Graphics,Canada,Intermediate,One-time project
"LinkedIn,Twitter,Facebook,Social Media Marketing,Social Media Management,Instagram",United States,Expert,Ongoing project
"Infographics,Signage,Poster,Geographic Infographic,Data Visualization,Informational Infographic,Advertising Design,Brand Identity Design,Playful,Informative",Canada,Intermediate,One-time project
"Social Media Marketing Strategy,Social Media Content Creation,Copywriting,Graphic Design,HootSuite,Desktop Ad,Mobile Advertising,Facebook,Instagram,LinkedIn,Twitter,Pinterest,eCommerce,Social Media Management,social media posts,instagram marketing,Instagram Stories",United Kingdom,Expert,Ongoing project
"Graphic Design,Web Design,Web Programming",United States,Intermediate,Ongoing project
"Illustration,Sketch,Graphic Design",Australia,Expert,Ongoing project
"Logo Design,Brand Positioning,Branding,Graphic Design,Brand Guidelines,Storytelling,Corporate Branding,Style Guide Development,Creative Strategy",Australia,Intermediate,Ongoing project
"Twilio API,API,API Development,Zoho CRM,API Integration,Automation",United States,Intermediate,One-time project
"Project Management Capability,Administrative Support,Google Calendar,Virtual Assistant,Email Communication,Customer Service,Communications,Research,Personal Administration",United States,Intermediate,One-time project
Logo Design,United Arab Emirates,Expert,One-time project
"Data Visualization,Minimal,Graphic Design,Adobe Illustrator,Adobe Photoshop,Layout Design",United States,Intermediate,One-time project
Animation,Philippines,Entry level,Ongoing project
Unreal Engine,Canada,Entry level,One-time project
"Illustration,Sketch,Adobe Illustrator,nft",United States,Entry level,One-time project
Microsoft PowerPoint,United States,Intermediate,One-time project
"Adobe Photoshop,Graphic Design,Concept Artistry,Environmental Design,environment artist",United States,Intermediate,One-time project
"Graphic Design,Social Media Imagery,Infographics,Instagram",United States,Intermediate,Ongoing project
"Spanish,Content Writing,SEO Keyword Research,Research,SEO Writing",Denmark,Expert,Complex project
"GIS mapping,Adobe Illustrator,Adobe InDesign,Graphic Design,mapmaking,Maps",United States,Intermediate,One-time project
"Google Ads,SEO,Google Maps API,Google Local Business Optimization,SEO Backlinking",United States,Expert,Complex project
"Google Maps API,API,Google APIs,API Integration",Mozambique,Expert,Ongoing project
"Node.js,QGIS,OpenMapTiles",Germany,Expert,Ongoing project
"Python,parallelization,Scripting,Python Script",France,Expert,One-time project
"Python,Web Design,CSS,HTML,Swift,JavaScript",United Kingdom,Intermediate,Ongoing project
"Interaction Design,Software Design,Mockup,Wireframing,Research Documentation,User Flows,Information Architecture,Sketch,User Interface Design,Prototype",United States,Intermediate,Ongoing project
"Lean Development,Data Analysis,Product Roadmap,Product Management,Research,Product Development,Product Design,Implementation Plan",United States,Intermediate,Ongoing project
"Website,Web Design,Web Programming,CSS,Webflow",United States,Intermediate,One-time project
"Web Application,Web Programming",Malaysia,Intermediate,Ongoing project
"Articulate Storyline,Articulate,eLearning,Adobe Illustrator,SCORM,Instructional Design",India,Intermediate,Complex project
"Database Architecture,Database Design,Smart Contracts,Blockchain,Cryptocurrency,Solidity,Blockchain Architecture,Blockchain Development",Turkey,Expert,Complex project
"Sales,Cold Calling,Phone,Lead Generation,List Building,Health Technology",Canada,Intermediate,Ongoing project
"Leaflet,API Integration,Python,JavaScript,Web Programming,API",Canada,Expert,Ongoing project
"PHP,JavaScript,Web Programming,WordPress,MySQL,Java,CSS,Web Design,API Integration",Argentina,Intermediate,Ongoing project
"English,Content Writing,Copywriting,SEO Writing",Montenegro,Intermediate,Complex project
"Scheduling,Virtual Assistance,Personal Administration,File Management,Email Communication,Phone Communication,English,Research,Communications,Romanian",Italy,Intermediate,Ongoing project
"JavaScript,JavaScript,API,Machine Learning,Chrome Extension",Singapore,Intermediate,Ongoing project
"Agile,Design Thinking,Lean Development,Kanban,Rapid Application Development,Prototype Model,Usability Testing,User Research,Minimum Viable Product,Prototype,Requirements Specification,Product Roadmap,Product Management,Product Design,Product Development,Concept Design,Implementation Plan,Wireframing",United States,Intermediate,Complex project
"SEO,SEO Keyword Research,SEO Backlinking,Google Ads,SEO Audit",India,Intermediate,Complex project
"Presentation Design,Business Presentation,Graphic Design,Pitchbook,Data Visualization,Infographics",United States,Intermediate,One-time project
eCommerce,Germany,Entry level,One-time project
"React,JavaScript,SEO",Netherlands,Expert,One-time project
"Motion Graphics,Graphic Design,Adobe After Effects,Traditional Animation",Australia,Intermediate,Ongoing project
"Translation,Photo Editing",Hong Kong,Entry level,One-time project
"Adobe Photoshop,Graphic Design,Adobe Illustrator,Adobe InDesign,Social Media Imagery,Infographics,eBook Design,Facebook,Pinterest,Twitter,LinkedIn,Instagram Plugin,Banner Ad Design",United States,Expert,Ongoing project
"Cartoon Style,Animal,Character Design,Drawing",United States,Entry level,Ongoing project
Business Process Reengineering,United States,Entry level,Ongoing project
"Digital Mapping,Graphic Design,Infographics",United States,Intermediate,One-time project
"Graphic Design,Adobe Illustrator",Denmark,Entry level,One-time project
"Build Lookalike Audiences,Retargeting,Dynamic Ads Setup,Facebook Ads Manager,Canva,Social Media Advertising,Campaign Management,Campaign Setup,Audience Research,Social Media Marketing Strategy,Marketing Analytics,Facebook Advertising,Social Media Marketing,Marketing Strategy",United States,Expert,Complex project
React,United States,Expert,Complex project
"SQLite,React Native,OpenStreetMap,Expo.io",United States,Intermediate,Ongoing project
"Maps,Cartooning,Caricature,Illustration,Advertising Design,Cartoon Map,Graphic Design",United States,Entry level,Complex project
"Angular,ASP.NET MVC,JavaScript",India,Intermediate,One-time project
".NET Framework,Leaflet,Web Application,Website Redesign,React Native,iOS,Mobile App Development,iOS Development,API,Instagram API,Stripe,Maps,stormglass,weather api",United States,Expert,Ongoing project
"Transaction Data Entry,Salesforce CRM",United States,Entry level,Complex project
"Comic Art,Comic,Illustration,Anime,Cartooning,Sketch,Digital Illustration,Manga",United States,Intermediate,Complex project
"Photo Manipulation,Photo Editing,Image Editing,Retouching,Adobe Photoshop,Photo Color Correction,Product Photography",United Kingdom,Intermediate,Ongoing project
"Blender,normal maps",India,Expert,One-time project
"discord,nft",Malta,Intermediate,Ongoing project
"Audit,SEO Keyword Research,SEO,Organic Traffic Growth",United Kingdom,Entry level,One-time project
"Lead Generation,Sales Development,Partnership Development,eCommerce,Sales,Relationship Management",United States,Expert,Ongoing project
,Israel,Expert,Complex project
"Presentation,Microsoft Excel",United States,Intermediate,One-time project
"Copywriting,Writing",United States,Expert,One-time project
"Video Editing,Adobe After Effects,Video Production,Explainer Video,Adobe Premiere Pro",Bahrain,Expert,One-time project
"Microsoft Visio,Business Process Automation,Process Maps,Process Flow Diagram,Graphic Design,Digital Mapping,Data Visualization",Pakistan,Expert,One-time project
"Traditional Style,Realistic,Watercolor,Charcoal Illustration,Gouache,Pencil Illustration,Adobe Illustrator,Line Drawing,Graphic Design,Adobe Photoshop,Illustration,Concept Artistry,Drawing,Contemporary,Minimal",United States,Entry level,Ongoing project
"Latin American English Accent,Latin American Spanish Accent,Spanish,US English Dialect,Live Interpreter,Customer Service,Communications,Interpretation,Castilian Spanish,English to Spanish Translation,English,simultaneous interpretation,consecutive interpretation,Spanish to English Interpretation,Onsite,Remote Interpretation,Onsite Interpretation",India,Expert,Ongoing project
"English,English Tutoring,ESL Teaching,Teaching English",Canada,Intermediate,One-time project
"Content Writing,Copywriting,Content Marketing Strategy,Research,SEO,Website Content,Product Page,About Us Page,Article,Blog Content,White Paper,Social Media Content,English,SEO Writing,Article Writing,Blog Writing,article jobs,Creative Writing,Writing",Israel,Intermediate,Ongoing project
Robotics,Germany,Expert,Ongoing project
"Graphic Design,Illustration",United States,Intermediate,Ongoing project
"Copywriting,Website Content,English,Landing Page,Content Writing,SEO",United States,Intermediate,Complex project
"Social Media Marketing,Influencer Marketing",United States,Expert,One-time project
"Character Design,Animation,Voxel,MagicaVoxel",Canada,Intermediate,One-time project
"API,Amazon Web Services,Amazon API Gateway,API Development,API Integration",United Kingdom,Intermediate,Complex project
"Data Entry,Microsoft Excel,Google Docs,Microsoft Word,Email Communication",United States,Expert,One-time project
"Altova MapForce,EDIFACT,cXML,EANCOM,XSLT",Germany,Intermediate,Complex project
"Lead Generation,Interpersonal Skills,Research",Canada,Intermediate,Ongoing project
"Adobe Premiere Pro,Adobe After Effects,Video Editing,Video Production",United States,Entry level,Ongoing project
"Data Entry,Data Scraping,Data Mining,List Building,Research,Lead Generation,Prospect List",Canada,Entry level,One-time project
"Education,Consumer Goods,eCommerce,Fashion,Gaming,Government,Real Estate,Retail,SaaS,Technology,Arts,Automotive,Nonprofit Organization,Wholesale,Construction,Business Services,Mobile Apps,Manufacturing,Medical,Finance,Legal Services,HubSpot,CRM,Lead Generation,Sales,Marketing Automation,Email Marketing,Automation",United States,Intermediate,Complex project
"Data Entry,Virtual Assistant,Virtual Assistance,Research",France,Entry level,One-time project
"Machine Learning Model,Databricks,Python,Machine Learning,Natural Language Processing,Data Science",Israel,Expert,One-time project
"Data Entry,Email Marketing,HubSpot,Retail,Lead Generation,List Building,Outbound Sales,Prospect List",Poland,Intermediate,One-time project
"Social Media Marketing,Administrative Support,Social Media Management",Canada,Entry level,Ongoing project
"Web Application,Map Integration,Google Map Maker,Interaction Design,Web Programming",Singapore,Expert,Ongoing project
"Web Design,Adobe XD",United Kingdom,Expert,Ongoing project
"Video Editing,Final Cut Pro X,Video Production,Graphic Design,Adobe After Effects,Videography",Australia,Expert,Ongoing project
"Kubernetes,PHP,DevOps,System Administration,SSL,Ingress,digital ocean",India,Intermediate,One-time project
"JavaScript,Data Scraping,Chrome Extension,Google Maps API,HTML,CSS",French Southern and Antarctic Lands,Entry level,One-time project
"API Integration,Custom PHP,WordPress Plugin,Responsive Design,Web Design,AJAX,Java,XQuery,JavaScript,CSS,API,jQuery,PHP,WordPress",South Korea,Intermediate,One-time project
"Figma,User Experience Design,Wireframing,User Interface Design",United States,Intermediate,Ongoing project
"Apache Spark,Pyspark,Python,Apache Hadoop",Russia,Intermediate,One-time project
"Social Media Marketing,Social Media Management,Instagram,Facebook,Creative Writing",Canada,Expert,Ongoing project
"Content Writing,Research,Medical,English",Australia,Intermediate,Ongoing project
"Social Media Management,Social Media Marketing,Content Writing,Instagram,Facebook,Social Media Content Creation,Content Strategy,Social Media Content",United Kingdom,Intermediate,Ongoing project
"Presentation Design,Business Presentation,Microsoft PowerPoint,Graphic Design",Canada,Intermediate,One-time project
"Data Visualization,JavaScript,CSS,HTML",United States,Expert,One-time project
"QGIS,ArcGIS,Web Design,Web Programming,Georeferencing,Autodesk AutoCAD,ability to use shape files from my Tremble GPS and be able to take your data and make shape files that will work with my Tremble GPS",United States,Expert,One-time project
"ArcGIS,Digital Mapping,ArcGIS Online,Google Maps API",United States,Intermediate,One-time project
"AngularJS,Custom PHP,Web Application,SVG Editor,JS Library,Flowchart Infographic,JavaScript",United States,Expert,Ongoing project
Shopify,United States,Expert,Ongoing project
"ArcGIS,Google Maps API,Autodesk AutoCAD,Android,iOS,Georeferencing",South Africa,Expert,Ongoing project
"Architectural Rendering,Photorealistic Rendering,Product Rendering",United States,Expert,One-time project
"Adobe Photoshop,Adobe Premiere Pro,Autodesk Maya,Toon Boom Harmony,NUKE,Adobe After Effects,Final Cut Pro,Moho,Graphic Design,Motion Graphics,Adobe Animate,Illustration,Animation,Adobe Illustrator",Sweden,Intermediate,Ongoing project
"Android,Phone,Android App Development,iOS,iOS Development,Mobile App Development,JavaScript,Java,Data Entry",India,Entry level,Ongoing project
"Prototype,Mockup,User Research,Usability Testing,Journey Mapping,Web Design,Graphic Design,User Flows,Style Guide,Mobile App Design,Responsive Design",United States,Expert,One-time project
"Digital Mapping,Presentation,Tableau,Google Maps API,Digital Mapping",Australia,Intermediate,One-time project
Adobe Illustrator,Denmark,Intermediate,One-time project
"English,Voice Over,US English Dialect",China,Entry level,One-time project
"Android,imap,rich text editor",United States,Intermediate,One-time project
"Chart of Accounts,Quickbooks,Intuit QuickBooks,Technical Accounting,Accounting Software",United States,Expert,One-time project
"Lifestyle,English,Copywriting,Website Content,Content Writing,SEO,Website Copywriting,Marketing,Branding,Storytelling",United States,Intermediate,Ongoing project
"HubSpot,API,JavaScript,Landing Page,Microsoft Power BI Development,Microsoft Power BI,Web Programming",Australia,Intermediate,Complex project
"Product Photography,Photo Editing",United Kingdom,Expert,One-time project
"Data Entry,Virtual Assistant,Research,List Building",New Zealand,Intermediate,One-time project
"Web Design,Responsive Design,Prototype,Mockup,Figma",United States,Intermediate,Ongoing project
"Web Design,Responsive Design,Mockup,Prototype,User Flows,Journey Mapping,Figma",United States,Expert,Complex project
"Brand Identity Design,Graphic Design",Pakistan,Entry level,One-time project
"Virtual Assistant,Customer Service,Customer Satisfaction,Scheduling,Task Coordination",United States,Expert,Ongoing project
"Business Applications Consultation,Software Developer,ERP Software,Construction,Odoo,Python,PostgreSQL,Web Programming",Switzerland,Intermediate,Ongoing project
"WooCommerce,PayPal,Startup Company,WordPress,Web Programming,WordPress Plugin,CSS",United States,Intermediate,Ongoing project
"JavaScript,CartoDB,React,Redux",United States,Expert,One-time project
"Research,Product Descriptions,Script,Blog Content,Social Media Content,Copywriting,Content Writing",United States,Intermediate,One-time project
"Database Design,API Integration,CRM,SQL,ASP,Microsoft Excel,API,PHP,Python,JavaScript",Saudi Arabia,Intermediate,Ongoing project
"Phone,Unity,Game Design,Game Development",Qatar,Intermediate,One-time project
"Google Analytics,Business Services,SEO Keyword Research,SEO Backlinking,SEO,SEO Performance",Spain,Intermediate,One-time project
"Copywriting,Technology,Business Writing",Canada,Intermediate,One-time project
WordPress,Canada,Intermediate,Complex project
"Automation,Dashboard,Data Extraction,Data Mining,Scripting,Web Crawling",United States,Intermediate,One-time project
"Traditional Style,Poster,Adobe Photoshop,Graphic Design",United States,Intermediate,One-time project
"Jira,Atlassian JIRA,Project Management Capability,Project Scheduling,Project Plan,Release planning,Resource Allocation",United States,Intermediate,Complex project
German,India,Entry level,Ongoing project
"Graphic Design,Layout Design",United States,Expert,Complex project
"Microsoft Power BI,Dashboard",Germany,Entry level,One-time project
"English to Dutch Translation,Dutch,Translation",France,Entry level,One-time project
"MongoDB,Python,Jenkins,Git,Ubuntu,Deployment Automation,Infrastructure Management,DevOps,Kubernetes,Elasticsearch,Zato",United States,Intermediate,Ongoing project
"Phone,User Profile Creation,Casual Game,Education,Game Design Document,Game Consultation,Graphic Design,Game Design,Illustration,Prototype,Mobile App Design,iOS,Android",India,Expert,Complex project
"Adobe Illustrator,Illustration,Geometric Pattern,Geometry",United States,Entry level,One-time project
"Logo Design,Graphic Design,Adobe Illustrator,Adobe After Effects",United States,Expert,One-time project
"Reddit Marketing,Forum Moderation,Forum Posting,soial media,Reputation Management,Public Relations",Canada,Intermediate,Ongoing project
"Website,WordPress,Web Design,Landing Page,Graphic Design,CSS,HTML",United States,Intermediate,One-time project
"Computer Vision,Network Analysis",United States,Intermediate,One-time project
"Microsoft PowerPoint,Business Intelligence,Presentation Design,Presentation,Data Visualization",United States,Expert,One-time project
"Evernote,Measure Map,Pasture Pro",Australia,Intermediate,Ongoing project
"Instructional Design,Energy,Program Curriculum,Curriculum Design",United States,Intermediate,Ongoing project
"Writing,Creative Writing,English,Content Writing",Latvia,Expert,One-time project
"Web Design,Web Programming,Google Maps API,JavaScript,PHP",United States,Expert,Complex project
"Banner Ad Design,Landing Page,Social Media Imagery,Logo Design,Email Communication,Advertising Design,Brand Identity Design,Cover Art Design,Adobe Illustrator,Adobe Acrobat,Microsoft PowerPoint,Graphic Design,Social Media Marketing,Facebook,Web Design,Adobe InDesign",New Zealand,Intermediate,One-time project
"Dashboard,Data Visualization,Microsoft Power BI,ArcGIS,Microsoft Excel",United Kingdom,Intermediate,One-time project
"Illustration,Research,Real Estate,Photo Manipulation",United States,Intermediate,One-time project
"Template Markup,Visualization,WordPress Website,Web Application,Website Redesign,Responsive Design,TypeScript,jQuery,AJAX,WordPress,JavaScript,PHP,CSS,HTML,Web Programming,API,Web Design",South Korea,Intermediate,One-time project
"Kernel,Linux,Driver Development",Italy,Expert,Ongoing project
"WordPress,PHP",Germany,Entry level,One-time project
"Python,Vanilla,three.js,WebGL",Slovakia,Intermediate,One-time project
"Graphic Design,Motion Graphics",United Arab Emirates,Intermediate,One-time project
"Technical SEO,SEO,WordPress",United Kingdom,Expert,One-time project
"Python,OpenLayers,Django,React",Ethiopia,Entry level,One-time project
"Digital Illustration,Illustration,Character Design,Adobe Illustrator,illustration roadmap,Drawing",Australia,Expert,Ongoing project
"SketchUp,Illustration,Architectural Design,Autodesk AutoCAD",United States,Expert,One-time project
"Data Scraping,Data Extraction,APify",United Kingdom,Intermediate,One-time project
Advertising networks,Puerto Rico,Expert,Ongoing project
"SEO Keyword Research,SEO Audit,SEO,SEO Performance",United States,Expert,Ongoing project
"eBook,English,eBook Design,Proofreading,Editing,Writing,Digital Publication,eBook Writing,Content Writing,Graphic Design",United States,Intermediate,One-time project
"Virtual Assistance,Email Communication,Media Relations,Public Relations,Podcast,Communications",United States,Intermediate,Ongoing project
"Animation,Unreal Engine",Greece,Expert,Ongoing project
,Germany,Intermediate,One-time project
"Leaflet,Node.js,React,Web Application,Web Design,JavaScript,PHP,HTML,CSS,Mapbox,Shopify,Shopify Apps,Geoserver,Liquid",Netherlands,Intermediate,Complex project
"Alaska Bar Association,Finance,SEC Regulations,Legal Services,Cryptocurrency,financial law,Financial Disclosures",United States,Expert,Ongoing project
"Google Maps API,Google APIs,PHP,JavaScript",Pakistan,Intermediate,Ongoing project
"Firebase,React Native,JavaScript,Google Maps API",South Africa,Entry level,One-time project
"Tablet,Gaming Console,Smart Watch,PC,Hybrid,iOS,Puzzle,Prototype,Game Development,Mobile Game,Unity,Game Design,Android,Game Design Document,Phone",India,Expert,Ongoing project
"Pixel Art,Graphic Design,Animation,Adobe Illustrator,Illustration",Australia,Intermediate,One-time project
"Article,Blog Content,SEO,Research,Portuguese,English,Brazilian Portuguese Dialect,Article Writing,Proofreading,Editing,Writing,Creative Writing,SEO Writing,Blog Writing,Marketing Strategy,English to Brazilian Portuguese Translation",Hong Kong,Expert,Ongoing project
Graphic Design,United States,Intermediate,One-time project
"WordPress,Mapbox,JavaScript,Map Integration,PHP,API,Android,iOS,Web Application",United States,Expert,Ongoing project
"Content Writing,Research,Writing,Marketing Research,Data Entry,Article Writing,Copywriting",France,Intermediate,One-time project
"Communications,Virtual Assistant,Customer Service,Sales,Lead Generation,Telemarketing",United States,Intermediate,One-time project
"nft,Cartoon,Character Design",Germany,Expert,Complex project
"Copywriting,Content Writing,Website Content,Marketing",United States,Intermediate,One-time project
"JavaScript,Prototype,Information Architecture,Components Design,Software Design",Canada,Intermediate,Ongoing project
"Technical Writing,API Documentation,Technical Documentation,English,WordPress,PHP,API",Bahrain,Intermediate,Ongoing project
"Immigration Law,Green Cards,Work Visas,Immigration Documents,Legal Services,Legal",United States,Intermediate,Ongoing project
"Lucidpress,Graphic Design",United States,Intermediate,Ongoing project
"Adobe Photoshop,Photo Editing,Image Editing",Israel,Intermediate,One-time project
"API Integration,bubble",India,Intermediate,One-time project
"Data Entry,Product Management,Google Maps API,Web Programming,Accuracy Verification,Graphic Design,HTML,Product Roadmap,Mobile App Strategy,JavaScript,Shopify,List Building",United States,Expert,Ongoing project
"Product Roadmap,Web Programming,Agile,JavaScript,Prototype,Mobile App Strategy,Technical Writing,Lean Startup",United States,Expert,Ongoing project
"Adobe Illustrator,Graphic Design,Illustration,Drawing",United States,Expert,One-time project
"JavaScript,Game Development,React",Australia,Intermediate,One-time project
"mailbox,Information Security",Germany,Expert,Ongoing project
"Instagram,Social Media Advertising,Facebook,Social Media Marketing,Facebook Advertising,Social Media Management",Pakistan,Expert,Complex project
App creation,Germany,Entry level,One-time project
"Blender,Final Cut Pro,Adobe After Effects,VFX,Motion Graphics,Animation,Adobe Premiere Pro,Autodesk Maya",United States,Expert,Ongoing project
"wildberries,TITAN Technology",Taiwan,Entry level,Complex project
