Skills,worker_location,Price,SuccessRate
"Print Design,Adobe IllustratorAdobe Photoshop",Ukraine,14.01,100.0
"Motion Graphics,Translation English Russian",United States,67.31,100.0
"CAD,Process Design,Adobe Photoshop,Web Design,English Grammar,Video Upload,Content Writing",Pakistan,86.73,100.0
"Social Media Management,Microsoft Excel,Adobe InDesign",Ecuador,35.42,100.0
"Sales Letters,Radio Broadcasting,Graphic Design,Female Voice Over,Business Card Design,Copywriting,UX Design,Business Strategy,Proofreading",Ukraine,7.63,100.0
"Social Media Management,KDP,PDF Conversion,Editing,Autodesk RevitAutodesk AutoCAD,Texture Artist",Egypt,63.24,100.0
"Virtual Assistant,Voice TalentVoice Over American Accent,Illustration,Voice Talent,Adobe After Effects,Voice Over French",Canada,11.44,100.0
"Adobe PhotoshopCorelDRAW,User Experience Design,Microsoft Word,PDF Conversion,Adobe Photoshop,Data Visualization,Academic Writing,Visual Basic,Visual Presentation Design,Financial Statements Preparation,PhotographyWedding Photography",Portugal,35.98,100.0
"Subtitles,Avid Pro Tools,Proofreading,Translation",Australia,17.58,100.0
"ProofreadingWriting,Graphic Design,Manufacturing Design,Stationery,Logo Design,Storybook,English Proofreading,Image EditingPhoto Editing,Medical",Ukraine,56.54,100.0
"Print Design,Website Prototyping,Watercolor Painting,English Grammar,Voice Acting,Corporate Brand Identity,Layout Design",India,85.74,100.0
"Scriptwriting,Virtual Assistant,Blackboard,Industrial Design,Lead Magnet,Adobe Photoshop,Magazine LayoutIllustration,Parametric Design,Tableau,Visual Communication,MongoDB,Email Marketing,Experience Design",Vietnam,33.65,100.0
"Logo Design,Digital Sculpting",Romania,7.88,100.0
"Balance Sheets,Video Animation,Social Media Content,Still Life Painting,Bootstrap,Adobe PhotoshopAdobe PDF,Sketching",Pakistan,24.53,99.0
"AWS CodeDeploy,Marketing AutomationKlaviyo,English Proofreading,Speech,Teaching Japanese,Python,Translation English ArabicProduct Design,Data ScrapingQA Engineering,Microcontroller ProgrammingAltium Designer,Adobe Illustrator,Spanish ProofreadingEditorial Translation,Copyediting,Singing,AWS IoT Core,Virtual Assistant,Brochure Design,RSQL,AnimationComputer Animation,Print Advertising,Voice Over JapaneseEnglish,Linux System Administration,Narration,Adobe Photoshop,Minitab",Brazil,21.9,99.0
"Usability Testing,Fundraising,Content Creation,English Grammar",China,37.91,100.0
"Print Design,Graphic Design,Logo Design,Developmental Editing,React,Proofreading",Pakistan,26.55,100.0
"Graphic Design,Sound Design,Joomla Migration,Editing,Animation",Nigeria,45.42,100.0
"Motion Retouching,Developmental Editing,MixingSound Mixing,English Proofreading,English Spelling,Line Editing,Twitter Marketing,Copyediting",Pakistan,3.75,100.0
"Infographics,Sales Development,Voice TalentMale Voice Over,Portfolio ManagementExcel VBA,Logo Design,KeyShot,SQLTableau,Adobe PhotoshopAdobe Illustrator,Embroidery,Content Marketing Strategy,Engineering TutoringAutodesk AutoCAD,Adobe Premiere,Content Writing",United States,221.85,98.0
"Interior Design,Public Speaking,Typing,Writing,Social Media StrategySocial Media Management,Grant Writing,Article Curation,Copyediting",Indonesia,15.77,100.0
"Email Marketing,Photo Restoration,Layout Design,Graphic DesignTechnology",Spain,42.85,93.0
"Lead Generation,Interactive Voice Response,Python Numpy FastAI,Business Card Design,Amazon Redshift,Python Pandas,Data VisualizationOnboarding,Brochure Design,Adobe Photoshop,Corporate FinanceMicrosoft PowerPoint,Python,NumPy",United Kingdom,103.71,100.0
"Book Editing,Poster Design,Adobe Audition,Business Card Design,Editorial Design,English Proofreading,English Spelling,Adobe Photoshop,WordPress,Photograph Color Correction,Copyediting,English Grammar",Ukraine,112.75,100.0
"Drawing,Internet Research,Voice Recording,Voice Talent",Myanmar,53.49,100.0
"Radio Broadcasting,Medical Narration,Comic Art,Voice Over,Social Media Management,Motion Retouching,Narration,Adobe After Effects",India,63.1,99.0
"Medical Narration,Virtual Assistant,Node.js,Events,Video Animation,Audiobook,MySQL Programming,Translation English Arabic",United Kingdom,54.88,80.0
"Shopify,Virtual Assistant,Email Communication,Illustration,eCommerce Website,Translation German EnglishMicrosoft Office,Flyer Design,Project Management,Commerce Cloud,Ecommerce Platform Development,WooCommerce",Ukraine,7.91,100.0
"Label and Package Design,Adobe Premiere ProAdobe After Effects,Video Upload,IllustrationGraphic Design,Video Editing,Adobe Photoshop LightroomPhotography",United States,604.01,100.0
"Mechanical Design,Brochure Design,Content Creation,Photo Editing,Product Photography,DjangoMySQL",Ukraine,149.47,100.0
"Translation Dutch English,Shopify,Adobe PDF,three.js,Translation,Sound Effects,Proofreading,Principle,TypographyMobile App Design,IllustrationAnimation,React,Slovakian,Shopify SEO",Pakistan,22.3,100.0
"Print Design,Sales Letters,Adobe IllustratorAdobe InDesign,Adobe Photoshop,Data Visualization,Presentation Design,Magazine Layout",Ukraine,29.75,90.0
"Translation,Book,French,Mathematics TutoringSports Writing,Email Copywriting,Adobe Photoshop LightroomPhotography,Shopify SEO",United Kingdom,43.01,100.0
"Translation,Visual Arts,SEO Report,Organizer,Mobile App Development,Voice Over American Accent,Prezi,Game Development,Translation English Arabic,Android",Ukraine,29.76,100.0
"Final Cut Pro,Titles,Subtitles,Web Design,Translation Brazilian Portuguese English,Adobe After Effects,Adobe Photoshop Lightroom",Argentina,267.54,98.0
"Lead Generation,Graphic Design,Microsoft SQL Server AdministrationMySQL,Adobe Premiere Pro",Australia,24.93,100.0
"SQL,Lead Generation,Comic Art,Pitch Deck,Autodesk Architecture,Illustration,Adobe InDesign",Armenia,38.22,100.0
"Graphic Design,Cocoa Touch,Pitch Decks,Brochure Design,Exploratory Data Analysis,Presentation DesignBusiness Plan or Pitch,Articulate Storyline,Tableau,Dashboard,Microsoft PowerPoint,Qlik Sense,Transcription",Macedonia,7.61,100.0
"Design Enhancement,Shopify,Label and Package Design,Translation Italian Spanish,Facebook Advertising,Business EditingProofreading,eCommerce,Website Optimization",Spain,28.53,100.0
"Internet Research,Shopify,Translation Spanish English,Blog Writing,Adobe Photoshop Lightroom,BookkeepingWriting",Argentina,45.47,100.0
"Brand Guidelines,Web Research,English GrammarEnglish Punctuation,Caricature Drawing,Adobe InDesign",Argentina,26.79,100.0
"Translation,Interior Design,Graphic DesignBrochure Design,Autodesk Revit,Web Design,Commercial,Architectural Design",Ukraine,3.15,100.0
"Multiple Email Inbox Handling,Constant Contact,KeynotePresentation,Character Animation,Instagram Marketing,React,Sales Presentation,Editorial Design,Motion Design,Oil Painting,Apple Pages,Corel Painter,Translation English Japanese,English Grammar,Video Animation,Illustration,Texture Artist,Algorithm Development",Spain,11.16,100.0
"Female Voice Over,Caricature Drawing,PythonData Mining,Graphic Design",Pakistan,58.69,100.0
"Information Design,Press Advertising",Haiti,416.22,100.0
"Adobe Audition,Adobe PhotoshopVector Graphics,Audio Editing,Web ScraperEmail Marketing,Voice Talent,Flyer Design,Male Voice Over,Medical",Russia,16.28,92.0
"eBook Design,Illustration,Public Health,Medical Translation,Adobe Illustrator",Canada,3.0,100.0
"Graphic Design,Adobe Audition,Instagram Marketing,Voice Recording,Product Photography,Communications,Bootstrap,Male Voice Over,Voice TalentVoice Acting,Copyediting",Sri Lanka,48.83,100.0
"Graphic DesignUser Interface Design,Illustration",Spain,16.87,93.0
"DjangoJavaScript,Book,eCommerce Website,Seaborn,Python,Content Writing,AWS CloudTrail,Data Extraction,Shopify,BrandingWebsite Copywriting,Splunk,Website Optimization,Translation,Flat Design,RStatistics,OrganizerTranslation English Spanish,eBook,Animation,Facebook MarketingInstagram Marketing",Canada,31.06,100.0
"LogoWeb Design,Editing,Concept Artistry,PHP,Flyer Design",Venezuela,30.89,100.0
"Shopify,Video Production,three.js,Adobe PDF,Pitch Deck,Proofreading,English Proofreading,eCommerce Website,Adobe Illustrator,English Grammar,Shopify Theme,Translation Catalan English",Australia,67.46,88.0
"Product Listing,Musical Composition,Virtual Assistant,Translation Italian Spanish,iOS,Customer SupportZendesk,TypographyMobile App Design,Adobe Photoshop,Web Design,Adobe Illustrator,Cartoon,Corporate Brand Identity,Email Marketing",Croatia,12.65,100.0
"SEO Writing,Logo Design,English Proofreading,Adobe Photoshop,English Spelling",United Kingdom,75.17,100.0
"IllustrationsLogo Design,iOS Development,Computer VisionMedical Imaging,Android Things,Product Design,Brochure Design,Website Development,Flyer Design,Website",Pakistan,39.45,87.0
"SolidWorks,Watercolor,Mechanical Design,Product Design,Industrial Design,Brochure Design,Data Science,English Punctuation,Supplier Development,Mapinfo,CorelDRAW,Adobe InDesign,Onshape",United States,12.7,100.0
"Brand Identity,Microsoft Excel,Translation,Editing,Proofreading",United States,611.38,100.0
"Article Rewriting,Brochure Design,Microsoft Word,Artificial Neural NetworksMachine Learning,eCommerce",France,30.14,96.0
"Infographics,MongoDB,Translation Russian English,Translation",United States,116.89,100.0
"Data Entry,Corporate Brand Identity,Graphic Design,Adobe PDF",Ukraine,36.61,100.0
Scrum,Vietnam,7.03,78.0
Photography,Indonesia,546.47,97.0
"Singing,Japanese,Product Design,English Proofreading,Microsoft Office,English Spelling,Article Writing,English Grammar,Express,Corporate Brand Identity,PSD to HTML",Pakistan,13.97,100.0
"CodeIgniter,SEO Writing,Product Listing,three.js,Adobe PDF,Instructional Design,Web Design,WordPress,Proofreading",United States,57.41,100.0
"Print Design,Brand Identity,Logo Design,Banner Ad Design,Product Photography,Flyer Design",Nigeria,52.15,100.0
"Adobe DreamweaverAdobe Flash,Logo Design,Webflow,Website Development,PSD to Mailchimp,Android",Ukraine,62.09,100.0
"Website Prototyping,Civil Law,Intuit QuickBooksAccounting,MS Excel,Graphic Design,Unbounce,Logo Design,User Experience Design,Advertising,Facebook Advertising,Typing,Data Science,Sketching,EconomicsStatistics,Ghostwriting",United Kingdom,48.65,97.0
"Prepress,Adobe Photoshop,Motion Design,Instagram,Trailer,Microsoft SQL SSRS,Business,Presentation Design,Illustration,Canva,Videography",Serbia,27.92,100.0
"PDF Conversion,Microsoft Word,Print Design",United States,17.94,97.0
"Translation Spanish English,Comic Art,Google Spreadsheets,Intuit QuickBooksMicrosoft Excel,Subtitles,Internet ResearchData Extraction,Pitch Deck,Illustration,File Management,TranscriptionProofreading,Translation English Russian,Ethereum,Facebook MarketingTwitter Marketing,Stop Motion Animation",China,40.63,100.0
"QlikTech QlikView,Audio Engineering,Virtual Assistant,Sound Effects,Foley Art,Photo EditingPhotography,Data Entry,Adobe InDesign",Philippines,3.0,100.0
"Localization,Adobe IllustratoriOS Development,Typing,Adobe Photoshop,Grant SubmissionNonprofit Organization,Illustration,Adobe Illustrator",United States,50.18,99.0
"Christian Theology,Shopify,Film Dubbing,Project ManagementData Entry,Pitch Deck,Mobile App Development,Product Descriptions,Audio Production,Google AnalyticsPay Per Click,Adobe PDF,Lead Generation,Desktop Publishing,Finance,Writing,Website,Infusionsoft Administration,TypeScript,Translation Italian Spanish,Data Visualization,Website Development",Sri Lanka,26.84,77.0
"Multiple Email Inbox Handling,Speech Writing,eLearning",United States,62.58,100.0
"TypeScript,Shopify,Excel,Ionic Framework,DaVinci Resolve,Video Advertising,Translation Italian Spanish,Excel VBA,React Native,Node.js,Video Editing,MongoDB,WooCommerce",Thailand,3.0,100.0
"Product Listing,Drawing,Marketing Management,Photo Manipulation",United States,33.73,100.0
"Data Extraction,Amazon Web Services,Golang,Whiteboard Animation,Adobe Audition,Translation,Kubernetes,Translation English Polish,Audio Editing,Content Creation,Data Visualization,Translation English Russian,Machine Learning,Male Voice Over,Python,Process Documentation,PostgreSQL",Italy,13.41,83.0
"Shopify,Book Cover Design,OrganizerTranslation English Spanish,Liquid,Presentation Design,AnimationVoice Over",China,40.29,77.0
"CRM,Label and Package Design,Translation Italian English,Application Programming,Product ManagementBusiness Analysis,Zendesk",Sri Lanka,91.56,99.0
"Graffiti,Adobe InDesignAdobe Photoshop,Translation,Photorealistic Rendering,Art DirectionGraphic Design,Visual Arts,Figma,Web Design,Vector Graphics,Adobe InDesign",United Kingdom,18.84,100.0
"Voice Recording,Translation Spanish English,Translation Arabic English,Audiobook",Canada,33.27,100.0
"Adaptive Web Design,JavaScript,Responsive Web Design,explainer videos,Legal ResearchLegal Consulting,Copyediting",Argentina,56.23,94.0
"Concept Design,Shopify,Translation Russian English",Philippines,20.7,95.0
"Graphic Design,Logo Animation,Logo Design,Adobe InDesignAdobe Illustrator,Motion Design,Animation,Content Writing,Explainer Video",Ukraine,38.61,100.0
"Translation Brazilian Portuguese EnglishTranslation English Portuguese,Chat SupportEmail Handling,Digital Marketing",United States,16.93,100.0
"Graphic Design,Translation,Translation Greek English,Translation Arabic English,Articulate Storyline,Venture Capital Consulting,Storytelling,Ghostwriting",Philippines,25.94,100.0
"JavaScript,Translation Italian English,Leadership,Presentation,Content Creation,Photo Editing,Adobe InDesign,Technical Documentation,Data LogisticsLabel and Package Design,Commercial Photography,Photo Manipulation,Layout Design",Guatemala,26.56,99.0
"Video Animation,Content Writing,Digital Marketing Strategy,Flyer Design",Croatia,38.2,100.0
"BOQ,Facebook Marketing",United States,13.64,99.0
"Adobe PageMaker,Infographic,Prepress,Brand Guidelines,Voice Over American Accent,Video Animation,Male Voice Over,Explainer Video",Thailand,27.08,100.0
"Logo Design,Shopify,Web Design,VFX Animation",Philippines,32.39,100.0
Translation Arabic EnglishEnglish Proofreading,Ukraine,217.46,100.0
"Photograph Color Correction,Logo Design,Travel Agent,AngularJS,Photo Editing,English Grammar",Armenia,32.54,98.0
"English,Excel,Shopify,Adobe PDF,Interior Design,Chinese,Translation English Italian,Logo Design,Translation Italian Spanish,French,Customer SupportZendesk,Autodesk Revit,Environment,Web Design,Translation Spanish French,Official Documents Translation,Architectural Design,Adobe InDesign",Pakistan,36.14,99.0
"Haitian Creole,Web Scraper,Book,Logo Design,Adobe Premiere Pro,Storytelling,Spark AR Studio",Egypt,75.7,96.0
"TypeScript,Shopify,Adobe PDF,Motion Design,Product Descriptions,eCommerce",China,16.68,99.0
"Email SupportEnglish,Adobe IllustratorAdobe InDesign,Adobe Creative Cloud,Motion Graphics,KDP,Voice ActingNarration,Photograph Color Correction",United States,221.0,100.0
"Brand Identity,MapKit,Video AdsVideo Design,Proofreading,Design Theory",Armenia,16.78,100.0
"User Experience Design,Business Card Design,Blog WritingGhostwriting,eCommerce Website,Voice Acting,Ecommerce Platform Development",United States,41.77,100.0
"Internet Research,Label and Package Design,Logo Design,Proofreading,Logo,Voice Acting,Adobe InDesign",Singapore,26.86,99.0
"Corporate Brand Identity,Adobe PhotoshopAdobe InDesign,Translation English Dutch,Tableau",United Kingdom,26.97,100.0
"Logo Animation,Animated Explainer,Character Animation,Illustration,Editing,Proofreading",Slovakia,215.84,87.0
"Web DesignLogo Design,Exploratory Data Analysis,CSS,Illustration,Technical Translation,Vector Graphics",Pakistan,3.0,100.0
"Print Design,Product Listing,Label and Package Design,Website Translation,Narration,Graphic DesignVideo Production,Presentation Design,eCommerce",Mexico,7.06,100.0
"Graphic Design,Logo Design,Subtitles,Translation English Brazilian Portuguese,Photo Editing",Venezuela,22.86,100.0
"Print Design,Academic Translation,Photography,Figma,Adobe PhotoshopAdobe Photoshop Lightroom,Photo Editing,Web Design,Architectural Rendering,Product Photography,Adobe Photoshop Lightroom,Photograph Color Correction,Voice Acting,Adobe Illustrator,Bootstrap,Adobe InDesign,Adobe Acrobat",Italy,61.64,100.0
"Photo Manipulation,Microsoft Excel,Invitation Design,Photography,Brochure Design,Film Direction,Data Encoding,Sculpting,Translation French Italian,Photo Editing,Adobe InDesign,Adobe Photoshop Lightroom,Photograph Color Correction,Tattoo Design,Adobe Premiere,Copyediting,English Grammar",Ukraine,157.96,100.0
"Brand Identity,Responsive Web Design,Graphic Design,Translation Russian English,Translation,Interior Design,Adobe IllustratorWeb Design,Logo Design,Content Writing,Translation Polish English,Translation Ukrainian English,Proofreading",Croatia,98.53,75.0
"LogoBrochure Design,UX Design,Public Health",United Kingdom,21.62,100.0
"Book Editing,Graphic Design,Logo Design,Packaging Design,Photo Editing,Translation Japanese English,Microsoft PowerPoint",United States,103.98,100.0
"Writing,Technical Writing,Article WritingArticle Rewriting",Ukraine,9.51,100.0
"Audiobook,Graphic Design,Voice Over,Female Voice Over,Logo Design,Narration,Data Entry,English Proofreading,Editorial Design,Adobe Photoshop,Adobe Illustrator,Communications,Adobe Premiere Pro,Teaching Japanese,PunctuationPoetry",Serbia,7.89,99.0
Explainer Video,Palestinian Territories,3.39,92.0
"Voice Over Australian Accent,Translation Spanish English,Character Animation,CopywritingProofreading,Adobe Photoshop,Autodesk AutoCADDesign,Photo Manipulation,Proofreading",Ukraine,8.58,100.0
"Translation French English,Pixologic ZbrushSolidWorks,Lottie,Business,Presentation Design,PSD to HTML,Interior DesignVectorWorks",Bangladesh,114.65,100.0
"Logo Design,Technical Writing",United States,39.18,99.0
"Data Analysis,Character Animation,Writing,Product DesignPrototyping,Green screen,Illustration,Translation Japanese English,Infographic,Content Writing",Ukraine,17.58,100.0
"Page Layout Design,Translation French German,Microsoft Office,Software Localization,Article Writing,Translation English Arabic",Ukraine,18.18,93.0
"Adobe IllustratorAdobe Photoshop,Adobe PhotoshopAdobe Photoshop Lightroom,Photo Editing,Flask,Photograph Color Correction,Adobe Premiere",Armenia,49.01,100.0
"JavaScript,Insurance Agency OperationsInsurance Consulting,Video Production,Comedy Writing,Graphic DesignAdobe Photoshop,Narration,Sales Presentation,Motion Design,Social Media Design,Video Color Correction,Vector Graphics",Russia,25.19,100.0
"Translation,Business Card Design,Proofreading,Microsoft PowerPointSDL Trados,English Spelling,English Grammar,Photo Manipulation,Natural Language Processing",United Kingdom,14.04,100.0
"Translation English PortugueseTranslation Portuguese English,AnimationGraphic Design",India,5.02,100.0
"Adobe Photoshop,Brochure Design,Management Accounting",United Kingdom,19.1,100.0
"Shopify,Adobe PDF,Translation,Translation Russian English,Translation English Polish,Graphic DesignVideo Production,Product Photography,eCommerce,Content Writing,WooCommerce",Brazil,33.81,99.0
"CRM,Translation English Frenchnan,Editing,UX Design,Product Rendering,Digital Illustration",United States,40.22,100.0
"PlanningLean Consulting,Article Rewriting,Adobe Photoshop Lightroom,Flyer Design",India,82.07,100.0
"Translation Hindi English,JavaScript,Shopify,Adobe PDF,Voice Over,Translation Italian Spanish,Podcasting,Writing,Data Science,MySQL,Logo,Mobile UI Design,Laravel,eCommerce Website,Female Voice Over,Video Editing,eCommerce,Systems Security",United States,74.44,98.0
"JavaScript,Microsoft Excel,Graphic Design,ASP.NET,Book Cover Design,FileMaker Pro,Writingnan,Node.js,MongoDB",India,27.7,100.0
"Print Design,Graphic Design,Flyer DesignBanner Ad Design,Logo Design,Business Card Design,Illustration,Google Slides,Adobe InDesign",Ukraine,46.61,88.0
"Legal TranslationInternational Law,Keynote,Translation,Communications,Google Spreadsheets,English Spelling,English Grammar,TranslationEnglish,Digital Illustration",Russia,23.84,100.0
"Translation English German,Drawing,Brochure Design,Film Direction,Pitch Deck,Content Creation,Adobe PhotoshopAdobe Photoshop Lightroom,Photo Editing,Corel Painter,Photograph Color Correction,Photo Manipulation,Adobe Premiere,Research",Ukraine,37.81,100.0
"JavaScript,Layout Design,Label and Package Design,Brochure Design,Typing,Writing,Italian GrammarItalian Proofreading,SDL Trados,Video Editing,Adobe InDesign,Ghostwriting,Sales Writing",Russia,4.41,99.0
"Data Engineering,Voice Over English",United States,10.04,96.0
"Voice ActingVoice Talent,English Spelling,Administrative Support,Translation Spanish French,Corporate Brand Identity,Proofreading",Ukraine,27.79,93.0
"Graphic Design,Workshop Facilitation,Logo Design,Adobe Animate,Translation English Brazilian Portuguese,Data Visualization,English Spelling,firebird",Spain,35.9,99.0
"Subtitles,Translation English Portuguese,Translation English Brazilian Portuguese,Moderation,Adobe Photoshop,Fashion,Translation Portuguese English,Web Design,Translation English French,Audio EditingVideo Production",Bulgaria,28.98,92.0
"Virtual Reality,LocalizationTranslation,Audiobook,Graphic Design,Voice Over,Logo Design,Medical Translation,Voice Acting,Flyer Design,Audio EditingAnimation,Graphic DesignAdobe Illustrator",United States,40.87,96.0
"Webinar,eBook Writing,WInd Farm Evaluation",Ukraine,34.52,99.0
"Graphic Design,Legal Consulting,Editing,Poster,Caricature Drawing,SwiftiOS Development",Ukraine,11.15,100.0
"SEO Writing,Logo Design,Mac OS App Development,Time Management,Adobe InDesign",India,35.34,100.0
"Logo Animation,Travel,Adobe After EffectsAdobe Photoshop,Academic Proofreading,Layout Design,Systems EngineeringProject Planning",United Kingdom,83.27,100.0
"UI Graphics,Retouching,Graphic Design,Translation Czech Polish,Brochure Design,Wireframes,Mobile UI Design,AnimationVoice Over",Argentina,191.39,100.0
"Print Design,Business Card Design,Virtual Assistant,Salesforce Sales Cloud",Egypt,132.47,100.0
"JavaScript,Articulate Presenter,Illustration,BrandingLogo Design,Voice Recording,Layout Design",Thailand,3.0,82.0
"Whiteboard Animation,Interior Design,Pitch Deck,Audio Editing,Weebly,Fiction,Web Design,Architectural Rendering,WordPress,Voice Talent,Male Voice Over,Proofreading,Mobile App Design",Venezuela,14.2,100.0
"Adobe IllustratorAdobe Photoshop,IllustrationCorporate Brand Identity,Translation Czech English,Blog Writing,Compositing,Photo Restoration,Python,Explainer Video",India,69.66,100.0
"Blog Writing,Logo Design,Data Visualization,Instagram Stories,Adobe Premiere",United States,62.64,100.0
"Audio Editingnan,Proofreading,Visual Presentation Design,Book",France,3.0,100.0
"Voice Acting,Print Design,Adobe Illustrator,Photograph Color Correction",United States,36.83,100.0
"Microsoft Excel,Sales Copywriting,Video Production,Marketing Management",Spain,3.0,100.0
"JavaScript,Lead Generation,Fashion Illustration,Desktop Publishing,Writing,Design,Exploratory Data Analysis,Voice TalenteLearning Multimedia,CorelDRAW,Adobe InDesign",United States,43.48,100.0
"Graphic Design,Label and Package Design,Logo Design,Competitive Analysis,Banner Ad Design,Product Descriptions,Audiovisual Translation,Content Production,WooCommerce",India,28.68,100.0
"Translation English Slovak,Mobile App Design,Exploratory Data Analysis,Microsoft Word",Georgia,19.16,100.0
"JavaScript,Translation Russian English,Branding,Microsoft PowerPoint,Node.js,Corporate BrandingOffset printing",Indonesia,69.69,100.0
"Whiteboard Animation,Finance,Audio Editing,Editing,Male Voice Over,Photo Manipulation",Brazil,30.46,86.0
"Graphic Design,Business Card Design,Archicad,Logo",United States,13.09,86.0
"Figma,Sales Copywriting,Illustrations,Illustration,Translation Japanese English,Video EditingPhoto Editing",United Kingdom,133.24,100.0
"JavaScript,Ableton Live,VFX Design,Photography,Siemens NX,Inventory Management,Character Design,Photo Manipulation",Ukraine,179.08,98.0
"Website TranslationAcademic Translation,Graphic Design,Logo Design,Brochure Design,Business Card Design,Fashion Design,CorelDRAW",United Kingdom,48.99,100.0
"PresentationManagement Consulting,Graphic Design,Book,Voice Over English,Market Research,Ecommerce Platform Development",United States,49.3,91.0
"Excel,three.js,eCommerce Website,Translation English FrenchAmazon Seller Central,Shopify SEO",India,34.4,100.0
"Sales,XHTML,Brochure Design,Video Advertising,ArabicVideo Editing,Video Design,Data Visualization,SEO Strategy,Data Entry,Video Post Editing,PSD to HTML,Transcription,Training",Ukraine,173.84,100.0
"Email Handling,LogoWeb Design,Brochure Design,Foley Art,Adobe Illustrator,Flyer Design,PresentationAdobe InDesign",Indonesia,32.51,100.0
"Infographics,Web DesignLogo Design,Label and Package Design,Translation,Logo Design,Articulate Storyline,Visual Communication,Audiobook,Corporate Brand Identity",Indonesia,49.97,100.0
