Skills,experience,fixed_price,client_location,project_type
"Onsite Interpretation,Google Maps API,Payroll Accounting,English to Spanish Translation,Sketching",Entry level,5.0,Netherlands,Complex project
Answered Tickets,Expert,1384.0,Canada,Ongoing project
"iOS,Adobe After Effects",Entry level,2310.0,United States,Complex project
"Customer Service,Relationship Management,Onsite,Graphic Design,Google My Business,Adobe Photoshop,Adobe Illustrator,Release planning",Entry level,8000.0,United Kingdom,Ongoing project
"English,Graphic Design",Intermediate,8000.0,South Africa,Complex project
"Blog Content,SEO Writing,iOS Development,Forum Posting,Adobe Illustrator,Node.js,Instruction Manual,Research",Expert,7790.0,Bahrain,One-time project
"Infographics,English,Web Programming,Personal Administration,Scheduling,Email Communication,Administrative Support,Construction",Expert,1781.0,United States,Ongoing project
"CRM,Retargeting,Forum Posting,Podcast,CSS,Visual Basic,Information Security,Image Editing",Expert,514.0,United States,One-time project
"iOS,HTML",Expert,1704.0,United States,Ongoing project
"APify,Automation,Facebook,Social Media Advertising,SEO,Dynamic Ads Setup,Accounts Receivable,Data Entry,Canva",Entry level,7809.0,Mexico,Complex project
"Adobe Premiere Pro,Facebook Advertising,Copywriting",Entry level,1260.0,Germany,Complex project
"Retouching,Digital Art,Research Documentation,WebGL,Architectural Rendering",Entry level,7704.0,Netherlands,One-time project
"Google Maps API,Mobile App Development,WordPress,English",Intermediate,1182.0,United Kingdom,Ongoing project
"Web Programming,Leaflet,Build Lookalike Audiences,Visual Communication,Construction,Image Editing",Expert,8000.0,Canada,One-time project
"Blog Content,CSS,simultaneous interpretation,Release planning,API",Expert,8000.0,United States,One-time project
"Web Programming,Style Guide,Literary Interpretation of Biblical Narrative,Infrastructure Management,Microsoft Outlook Development,Computer Vision",Expert,5.0,India,Ongoing project
"Graphic Design,Adobe Illustrator,Adobe InDesign,Cryptocurrency",Intermediate,1785.0,Mozambique,One-time project
"Remote Interpretation,Adobe Illustrator",Expert,968.0,United Kingdom,Complex project
"Employee Relations,Lead Generation,Benefits,Realistic,Influencer Marketing,Teaching English,Minimal,Concept Artistry,Line Drawing,Job Posts,Payroll Accounting,Traditional Style",Entry level,285.0,Malaysia,Ongoing project
"Texturing,Network Analysis,Google Maps API,stormglass,Marketing Strategy",Expert,221.0,Qatar,One-time project
"Business Process Automation,Tableau,Advertising Design,Website Redesign,Layout Design",Intermediate,11.0,India,Complex project
"Motion Graphics,Interior Design,Forum Posting,Writing,Illustration,Adobe After Effects,Animation,API,Research",Intermediate,74.0,Canada,Ongoing project
"Marketing Research,Java,Technical Documentation,WordPress Plugin",Intermediate,644.0,Saudi Arabia,One-time project
"Web Programming,Website Content,Firebase,Outbound Sales,Adobe InDesign,Content Writing,Blockchain,English,Copywriting,Drafting,Adobe Premiere Pro,Audio Production,Public Relations,Desktop Applications,Kotlin,SEO,Social Media Imagery,Branding,Illustration,Marketing,API",Expert,1174.0,United States,Ongoing project
"Graphic Design,Virtual Assistant,Personal Administration,iOS Development,Virtual Assistance,Email Communication,Social Media Marketing Strategy,Google Maps API,Mobile Advertising,Character Design,Administrative Support,Communications,eCommerce,API",Entry level,5.0,Germany,Complex project
"WordPress,SEO Performance,Google Local Business Optimization,Marketing",Intermediate,1113.0,Australia,Ongoing project
"Google Maps API,API",Intermediate,8000.0,United States,Ongoing project
"English,SEO Writing,Video Production,Writing,article jobs,Email Communication,Administrative Support,Communications,Video Editing",Entry level,5.0,South Africa,Ongoing project
"Comic Art,Marketing Analytics",Intermediate,608.0,United Arab Emirates,Ongoing project
"English,Informational Infographic,Lead Generation,CSS,Pitchbook,Cartoon,Business Presentation,Medical",Intermediate,8000.0,Australia,Ongoing project
"SEO,Interaction Design,Copywriting,English",Expert,151.0,South Africa,One-time project
"JavaScript,Business Analysis,Google Sheets,Google Maps API,Product Roadmap",Expert,7804.0,Argentina,One-time project
"Social Media Management,Google Maps API,jQuery,Animation",Expert,1325.0,India,One-time project
"English,Automation,Website Content,SEO,Branding,Phone,Copywriting,Email Communication,Content Writing,Web Design,Storytelling,Customer Satisfaction,Animation,HubSpot",Entry level,12.0,Puerto Rico,Ongoing project
"Presentation,SEO Keyword Research,Data Scraping,Web Programming",Entry level,5.0,United States,Complex project
"Human Resources Strategy,Copywriting,Videography,Adobe Photoshop,Article Writing,Content Marketing Strategy,Content Writing,API,Research",Entry level,576.0,India,Complex project
"Sound Mixing,Forum Posting,Creative Strategy,React Native,Mobile App Development,Residential",Entry level,8000.0,India,Ongoing project
"Infographics,Graphic Design,Shopify Apps,Chrome Extension,Machine Learning,Email Communication,Clerical Procedures,Corporate Branding,Adobe Illustrator,EANCOM,eBook,Financial Disclosures",Expert,8000.0,Ireland,One-time project
"Canva,Finance,React Native",Expert,948.0,India,One-time project
"Sales,TypeScript,Amazon Web Services,Motion Graphics,Graphic Design,English,Accuracy Verification,Phone,Adobe Photoshop,Build Lookalike Audiences,Python,Sketching",Entry level,8000.0,India,Ongoing project
"Automation,Motion Graphics,Lead Generation,Phone,SEO Keyword Research",Intermediate,366.0,Malaysia,One-time project
Visual Communication,Expert,2098.0,China,Ongoing project
"Google Maps API,Marketing Strategy,Lucidpress,Accounts Payable",Entry level,1791.0,United States,Complex project
"Infographics,Network Analysis,Adobe Illustrator,Project Plan,Canva",Intermediate,5.0,United States,One-time project
"Google Maps API,Web Programming,SEO Backlinking",Expert,8000.0,Australia,Ongoing project
"English,Telemarketing,Sketch,Branding,Google Maps API,WordPress,Marketing,Google Calendar,Adobe InDesign",Entry level,8000.0,United Kingdom,Ongoing project
PHP,Expert,8000.0,Qatar,One-time project
Blog Development,Intermediate,688.0,United States,One-time project
"Shopify,Microsoft Outlook Development,Copywriting,React Native",Entry level,5.0,United States,Complex project
"File Maintenance,Graphic Design,Virtual Assistant,Virtual Assistance,Nonprofit Organization,Email Communication",Entry level,8000.0,Taiwan,Complex project
"Microsoft Outlook,Payroll Accounting,Kotlin,Construction",Entry level,659.0,United Kingdom,Complex project
"Prototype Model,Compensation Reports,Product Development,Product Management,iOS,React Native,Leaflet,Lean Development",Expert,904.0,Canada,One-time project
"Data Extraction,Photo Color Correction,YouTube Marketing,Email Communication,WordPress,Startup Company,SSL,Communications,Mind Mapping",Entry level,8000.0,Hong Kong,Ongoing project
"English,Web Programming,Website Copywriting,SEO,Copywriting,Lifestyle,Content Writing,Marketing,Storytelling",Expert,8000.0,Canada,One-time project
"Portuguese,Graphic Design,Shopify Apps,financial law,SketchUp,WordPress,Game Consultation,Map Integration,GIS mapping",Entry level,8000.0,France,Ongoing project
"Gaming Console,Graphic Design,YouTube Marketing,Tablet,Map Integration,Smart Watch,Game Development,Adobe InDesign,Android",Expert,8000.0,United States,Ongoing project
"Figma,Copywriting,CSS,Google Maps API,Prototype,Web Design",Expert,5.0,Canada,One-time project
"Google Maps API,Creative Writing,Article Writing,List Building,Content Marketing Strategy",Expert,7975.0,Israel,Ongoing project
"Interpersonal Skills,English,Portuguese,Graphic Design,Answered Tickets,Customer Support,Interior Design,Communication Etiquette,Phone Communication,Copywriting,Danish,Measure Map,Following Procedures,Data Entry,Customer Satisfaction,Linux,API",Expert,666.0,Israel,Ongoing project
"Maps,Following Procedures,Product Photography,React Native",Expert,8000.0,Canada,One-time project
"social media posts,HootSuite,Maps,Desktop Ad,Facebook Advertising,Twitter,Illustration,Social Media Content Creation,Instagram,Mobile Advertising,instagram marketing,Instagram Stories,eCommerce,LinkedIn",Intermediate,8000.0,United States,One-time project
API,Expert,190.0,Canada,Ongoing project
"Customer Service,Web Programming,Remote Interpretation,Scheduling,US English Dialect,Resource Allocation,Spanish,appointment setting,Email Communication,Castilian Spanish,Project Management Capability,Release planning,Task Coordination,Interpretation,Cold Calling,.NET Core,Onsite Interpretation,Latin American English Accent",Entry level,1022.0,United States,One-time project
"Drawing,Graphic Design,Unity,Manufacturing,Compensation Reports,Facebook,Watercolor,Finance,Minimal,Google Maps API,Adobe Photoshop,Procedure Development,Concept Artistry,Pencil Illustration,Line Drawing,Job Posts,Adobe InDesign",Expert,809.0,Germany,One-time project
"Business Analysis,Adobe InDesign,Digital Illustration,Game Design",Entry level,959.0,United Kingdom,Ongoing project
"Data Extraction,digital ocean,BigCommerce,Real Estate,Media Relations,SQLite,Computer Vision",Expert,1847.0,United States,Ongoing project
"Data Entry,Branding",Expert,853.0,Hong Kong,Ongoing project
"Google Maps API,Graphic Design,.NET Framework",Intermediate,8000.0,Australia,One-time project
"SEO Writing,Facebook,Photo Color Correction,Social Media Management,Copywriting,ArcGIS,Social Media Marketing",Expert,1998.0,United States,Complex project
"Graphic Design,Adobe Photoshop,Adobe Illustrator,Canva,HTML",Entry level,1028.0,United States,Ongoing project
"Adobe Photoshop,Graphic Design",Entry level,8000.0,United States,Ongoing project
"Marketing Research,Accuracy Verification,Cryptocurrency,Web Research,Data Entry,investing",Intermediate,8000.0,Norway,One-time project
"Infographics,Graphic Design,Virtual Assistant,Virtual Assistance,Email Communication,Adobe Illustrator,Communications,Education",Expert,1677.0,Canada,Complex project
"Retail,Web Research,Gaming",Entry level,7792.0,Philippines,Complex project
"Email Communication,Personal Administration,Cryptocurrency",Expert,973.0,United States,Complex project
"Automation,Graphic Design,Web Programming,React Native,Adobe Illustrator,Adobe InDesign",Intermediate,53.0,United States,Ongoing project
Lead Generation,Intermediate,1282.0,Canada,Ongoing project
"JavaScript,English,Caricature,Comic Art,Sketch,Social Media Imagery,SaaS,API,Digital Illustration",Intermediate,8000.0,United States,Ongoing project
"Website Content,Virtual Assistance,Adobe Photoshop,Tablet,Game Development,Content Writing",Entry level,8000.0,Italy,Ongoing project
"English,Google Maps API,Social Media Marketing Strategy,Game Development,Lifestyle,Adobe Acrobat",Intermediate,523.0,Australia,One-time project
"Customer Service,Graphic Design,Castilian Spanish,Adobe Illustrator,List Building,React,Content Writing",Intermediate,198.0,United States,Ongoing project
"Google Ads,Accounts Receivable",Intermediate,8000.0,India,One-time project
"Final Cut Pro,Adobe Premiere Pro,Illustration,Adobe After Effects,Toon Boom Harmony,Animation",Entry level,7786.0,Canada,Ongoing project
Facebook Advertising,Entry level,8000.0,Canada,Ongoing project
"Lifestyle,Prospect List,Marketing",Intermediate,1638.0,India,One-time project
"Infographics,Prospect List,Adobe Photoshop,Microsoft Visio,Instagram,Adobe InDesign",Intermediate,8000.0,Cyprus,Ongoing project
"Mobile App Development,Social Media Content Creation,eCommerce,Google Docs",Entry level,8000.0,India,Ongoing project
Automotive,Intermediate,8000.0,United States,Ongoing project
"Sales,HTML",Entry level,7690.0,Greece,Ongoing project
"Compensation,WordPress,JavaScript,HTML",Intermediate,7803.0,Germany,Ongoing project
"Task Coordination,Copywriting,Remote Interpretation,Adobe Illustrator",Intermediate,476.0,Australia,Ongoing project
"Marketing Research,Web Programming,SEO Backlinking,Technology",Expert,8000.0,United States,Ongoing project
Google Suite,Intermediate,1080.0,United States,Ongoing project
Web Programming,Entry level,595.0,Malta,One-time project
"Graphic Design,Real Estate,Microsoft Visio,Adobe Illustrator,Adobe InDesign",Expert,8000.0,United States,One-time project
"WordPress Website,Graphic Design,Adobe Photoshop,API Integration,Adobe Illustrator,API Development",Intermediate,1816.0,United States,Complex project
"Autodesk Maya,Google Maps API",Intermediate,1046.0,Israel,One-time project
"Email Communication,Google Maps API,Administrative Support",Intermediate,520.0,United States,One-time project
"Infographics,Graphic Design,Microsoft Azure,Google Maps API,API Integration",Expert,999.0,Canada,Ongoing project
"instagram marketing,eCommerce,PayPal,HTML",Entry level,8000.0,Germany,Complex project
"SEO,Phone Communication,Green Cards,Financial Disclosures,Machine Learning Model",Intermediate,8000.0,Ireland,One-time project
"Maps,Automotive",Entry level,8000.0,United States,Ongoing project
"Infographics,Web Programming,Graphic Design,Data Visualization,Digital Mapping,Microsoft Power BI,Email Marketing,API",Entry level,233.0,Malaysia,Ongoing project
"Maps,iOS,React Native,Copywriting,stormglass,Mobile App Development,.NET Framework,Stripe,Windows",Entry level,405.0,India,One-time project
"WordPress,Facebook Advertising,PostgreSQL",Entry level,8000.0,India,Ongoing project
"File Maintenance,OpenLayers,Virtual Assistant,Communications,Virtual Assistance,Scheduling,Email Communication,Google Maps API,Web Design,Castilian Spanish,Audiobook",Expert,8000.0,United States,Ongoing project
Game Design Document,Entry level,1213.0,India,One-time project
"APify,jQuery,CartoDB,VFX,Local SEO,API,Legal Services",Intermediate,8000.0,United States,Ongoing project
"Copywriting,Minimal,Google Maps API,Mobile App Development,List Building",Intermediate,1391.0,India,One-time project
flutterflow,Expert,8000.0,United States,Ongoing project
"Graphic Design,Instagram Plugin,CSS,Web Design,Adobe Illustrator,Lifestyle",Intermediate,1384.0,United States,Ongoing project
"Kanban,SEO,Writing,Implementation Plan,Lean Development,Content Writing,Rapid Application Development",Intermediate,8000.0,Bahrain,One-time project
"Interpersonal Skills,Architectural Design,Cryptocurrency,Data Science",Expert,1121.0,Australia,One-time project
"Facebook,Social Media Management,Finance,Procedure Development,Linux",Expert,7904.0,United States,Complex project
"Infographics,Web Programming,Graphic Design,Wholesale,API",Expert,706.0,India,One-time project
"English,article jobs,Illustration,Sound Editing,Research",Expert,510.0,India,One-time project
"English,Data Mining,System Administration,Adobe Illustrator,Sound Editing,Image Editing,HubSpot",Expert,2424.0,India,One-time project
"CSS,Mobile App Design,Android",Intermediate,1202.0,Poland,One-time project
Web Crawling,Entry level,8000.0,Montenegro,Ongoing project
WordPress,Expert,495.0,Mozambique,One-time project
Toon Boom Harmony,Expert,8000.0,India,One-time project
"Infographics,Graphic Design,Instagram Plugin,Facebook Advertising,eBook Design,Adobe Photoshop,Pinterest,Adobe Illustrator,Adobe InDesign",Entry level,273.0,Malaysia,One-time project
"Desktop Applications,Lead Generation,Marketing Research,Intuit QuickBooks,React Native,List Building,Data Entry,SEO Keyword Research,Blockchain,API",Entry level,679.0,United Kingdom,One-time project
"Website Copywriting,Phone,Google Maps API,standard operating procedure,SEO Backlinking",Expert,667.0,Canada,One-time project
"Instagram API,API",Entry level,360.0,France,Ongoing project
"Google Maps API,Game Consultation",Entry level,201.0,United Kingdom,Complex project
"Automation,Onsite,Legal Services,Castilian Spanish,Google Calendar,Research",Intermediate,8000.0,Philippines,One-time project
"User Profile Creation,Retouching,SEO,Google Maps API,Tablet",Intermediate,1841.0,Canada,One-time project
"English,Georeferencing,Virtual Assistant,Personal Administration,Scheduling,Accuracy Verification,Email Communication,Google Maps API,Communications,Form Completion",Intermediate,5.0,Canada,One-time project
"Illustration,Campaign Setup",Intermediate,179.0,United States,One-time project
"Infographics,dropshipping,Graphic Design,Candidate Evaluations,Virtual Assistant,Personal Administration,Social Media Management,Virtual Assistance,Microsoft Outlook,Email Communication,File Management,Pinterest,Administrative Support,Social Media Content,Blockchain",Expert,5.0,Serbia,Ongoing project
"Instructional Design,Character Design",Intermediate,8000.0,United States,Complex project
"Sales,English,Graphic Design,Website Content,SEO,iOS,Copywriting,Mobile App Development,Content Writing,Website Redesign,Storytelling,Android",Intermediate,8000.0,United Kingdom,One-time project
"SQL,Google Maps API,Policy",Expert,5371.0,France,One-time project
"Data Entry,API",Entry level,7928.0,Canada,Ongoing project
"Web Programming,Graphic Design,Facebook Advertising,WordPress,Adobe Illustrator,Content Writing",Intermediate,8000.0,India,One-time project
"Fashion,English,API",Expert,7826.0,Malaysia,One-time project
"Graphic Design,API",Expert,214.0,Australia,One-time project
"English,Graphic Design,dsers,SEO,Influencer Marketing,System Administration,Marketing Automation,Project Plan,Project Management Capability,Adobe Illustrator,Photo Manipulation,Instruction Manual",Expert,5.0,United Arab Emirates,Ongoing project
"Minimum Viable Product,Kanban,Product Development,Product Management,Implementation Plan,Requirements Specification,Lean Development,WordPress,SaaS,Rapid Application Development",Expert,8000.0,United States,Ongoing project
"Graphic Design,Google Maps API,Presentation Design,SEO Keyword Research,Content Writing",Intermediate,5.0,Singapore,One-time project
API,Expert,257.0,United States,One-time project
"Google Maps API,TypeScript,React,API",Expert,1103.0,Germany,Ongoing project
"Translation,Digital Art,Retail,CSS,Business Process Automation,Data Visualization,wildberries,Dashboard,English Tutoring,Romanian",Intermediate,694.0,United States,One-time project
"Website,Content Writing,Research",Expert,8000.0,United States,Ongoing project
"Cryptocurrency,Campaign Management,API",Intermediate,5.0,Israel,Ongoing project
"Drawing,Candidate Evaluations,Unity,Employee Relations,Web Programming,Figma,Watercolor,Product Design,Copywriting,Business Plan,Compensation,Procedure Development,Strategy,Job Posts,Instruction Manual",Expert,489.0,United States,One-time project
"Web Programming,Copywriting,Google Maps API,WordPress,Content Writing",Entry level,363.0,Serbia,Ongoing project
"Facebook,Influencer Marketing",Expert,1312.0,United States,One-time project
"English,Web Programming,Website Content,Website Copywriting,SEO,Branding,Copywriting,Email Communication,Lifestyle,Content Writing,PostgreSQL,Marketing,Storytelling,API",Intermediate,469.0,United Kingdom,One-time project
"Data Visualization,Mobile App Design",Intermediate,1294.0,Israel,One-time project
"English,Marketing Strategy,Spanish,WordPress,Task Coordination,Medical,Email Marketing,HTML",Entry level,8000.0,Slovakia,Ongoing project
"TypeScript,Arts,Android",Expert,453.0,United States,One-time project
"JavaScript,Graphic Design,React Native,Adobe Photoshop,WordPress,Adobe Illustrator",Expert,750.0,Australia,One-time project
"Infographics,Graphic Design,NUKE,React Native,Illustration,Adobe Photoshop,eBook Design,Adobe Illustrator,Toon Boom Harmony,Adobe InDesign",Expert,1152.0,India,Ongoing project
"Adobe Photoshop,Graphic Design,Adobe InDesign",Entry level,8000.0,Israel,Complex project
"Infographics,Graphic Design,Sage,Illustration,Adobe Illustrator,API",Intermediate,876.0,United States,One-time project
"English,Drawing,Website Copywriting,Website Content,Compensation Reports,Marketing,SEO,Watercolor,Copywriting,Content Writing,Line Drawing,Traditional Style,Storytelling,Training",Intermediate,762.0,China,One-time project
"SEO,Web Programming,Translation",Entry level,8000.0,India,Complex project
"Graphic Design,Branding,Finance,Phone,Copywriting,Adobe Photoshop,Adobe Illustrator,Content Writing",Intermediate,1026.0,Germany,Ongoing project
"English,Web Programming,Website Content,SEO,Finance,Copywriting,Research,PHP,Article Writing,Content Writing,API,Android",Intermediate,377.0,Saudi Arabia,Ongoing project
"Virtual Assistant,Product Roadmap,Communications",Expert,1655.0,United States,One-time project
"Graphic Design,Facebook,BigCommerce,Concept Artistry,Creative Writing,Social Media Marketing,Social Media Content,Adobe InDesign,API",Intermediate,7746.0,South Korea,Ongoing project
"Infographics,Photo Color Correction,YouTube Marketing,Google Maps API,.NET Framework,Blog Development,Marketing Automation,API",Entry level,159.0,United Kingdom,Complex project
"imap,Visual Basic,Product Photography,Expo.io,Sound Editing",Intermediate,286.0,Australia,One-time project
"Data Scraping,Graphic Design,Facebook,Web Programming,Social Media Management,Presentation,Autodesk AutoCAD,Data Visualization,WordPress,Social Media Marketing,Dashboard,SEO Keyword Research,Digital Illustration",Expert,298.0,Ukraine,One-time project
"ArcGIS,Adobe Photoshop,Finance,Phone",Intermediate,1262.0,United States,Ongoing project
"JavaScript,English,jQuery,SEO,Web Application,Elasticsearch,PHP,Cryptocurrency,List Building,Node.js,Django,Medical,API",Intermediate,8000.0,United States,Ongoing project
"Google Maps API,Content Writing,API,Android",Entry level,1112.0,Malaysia,One-time project
"iOS,Lead Generation,Software Developer",Intermediate,619.0,India,Ongoing project
"Graphic Design,Facebook,Social Media Management,React Native,Email Communication,Social Media Marketing,Administrative Support,Adobe Illustrator",Entry level,7779.0,United Kingdom,One-time project
"Business Analysis,Usability Testing,User Research,Business Process Modeling,Technical Writing,GitLab,Copywriting,Product Strategy,Scrum,Product Roadmap,Cryptocurrency,nft,Jira,Corporate Brand Identity,Use Case Diagram,Trello",Intermediate,8000.0,Hong Kong,Ongoing project
"JavaScript,File Maintenance,Infographics,Graphic Design,Instagram Plugin,Virtual Assistant,Email Marketing,Virtual Assistance,Email Communication,Adobe Photoshop,eBook Design,Process Maps,Solidity,Pinterest,Adobe Illustrator,Communications,Adobe InDesign,HTML",Entry level,269.0,Taiwan,Ongoing project
"Research Documentation,Copywriting",Intermediate,298.0,United States,One-time project
"Facebook,Virtual Assistant,Personal Administration,Adobe After Effects,List Building,Content Writing",Entry level,1025.0,United States,Ongoing project
"Wholesale,Content Writing,API",Entry level,8000.0,United Kingdom,Ongoing project
"JavaScript,English,Graphic Design,Instagram Plugin,SEO,Branding,Copywriting,Adobe Illustrator,Content Writing,HTML,Game Design",Expert,960.0,South Africa,One-time project
"Google Maps API,JavaScript,Outbound Sales,Business Services",Entry level,1444.0,Australia,Complex project
"Graphic Design,Facebook Advertising,Responsive Design,Prototype,WordPress,Website",Expert,348.0,Germany,One-time project
"Google Maps API,Web Programming,Website Copywriting",Expert,1076.0,United States,Complex project
Banner Ad Design,Expert,8000.0,Australia,Ongoing project
"English,Graphic Design",Intermediate,7733.0,United States,One-time project
"Business Services,Phone",Intermediate,8000.0,China,One-time project
"Responsive Design,Social Media Marketing Strategy,Figma,SEO",Intermediate,5.0,Serbia,One-time project
Adobe Illustrator,Intermediate,655.0,Canada,One-time project
Digital Illustration,Entry level,271.0,Pakistan,Complex project
"English,Final Cut Pro,Transaction Data Entry,Altova MapForce,Google Maps API,Data Entry",Intermediate,1934.0,United States,One-time project
API,Entry level,784.0,Sri Lanka,Ongoing project
"Web Programming,Social Media Content,Lead Generation,Google Suite",Expert,5.0,China,One-time project
"File Maintenance,English,Virtual Assistant,Personal Administration,Virtual Assistance,Branding,Administrative Support,Communications,Lifestyle,Content Writing,HTML",Expert,5.0,Serbia,Ongoing project
Oracle Accounting,Intermediate,1329.0,Turkey,One-time project
"Music Video,Maps,Accuracy Verification,Google Sheets,ArcGIS,Marketing",Entry level,480.0,Canada,One-time project
"Data Entry,Copywriting,English",Entry level,7996.0,Germany,Complex project
"Sales,Retargeting,Facebook,Social Media Management,Adobe Photoshop,WordPress,Web Research,Construction",Expert,735.0,United States,One-time project
"JavaScript,HTML,parallelization",Expert,8000.0,United States,One-time project
"jQuery,Web Application,Facebook Advertising,PHP,Smart Watch,Data Entry,Medical",Intermediate,995.0,United States,One-time project
"Audio Recording,CSS,VB.NET,Web Design,Blockchain Development,Blog Development,API",Entry level,757.0,Malaysia,One-time project
"Partnership Development,Company Research,Social Media Marketing,Map Integration,Social Media Content,Data Entry,HTML",Expert,543.0,Pakistan,One-time project
API,Intermediate,8000.0,China,Complex project
Manufacturing,Intermediate,7947.0,Argentina,One-time project
"Web Programming,SEO Backlinking,standard operating procedure",Intermediate,7684.0,Israel,Ongoing project
"Marketing Automation,Web Design,Nonprofit Organization,CSS",Expert,1620.0,United States,One-time project
List Building,Intermediate,7839.0,Russia,Ongoing project
"Google Maps API,Evernote,SEO Backlinking,Linux",Entry level,8000.0,Italy,Ongoing project
"Google Maps API,English,Graphic Design,Adobe Illustrator",Intermediate,1528.0,United States,One-time project
"Adobe Premiere Pro,Illustration,SaaS,Autodesk Maya",Intermediate,8000.0,United Kingdom,One-time project
Sketch,Entry level,989.0,Israel,Complex project
"Data Scraping,Graphic Design,Pixel Art,eBook Design,Adobe After Effects,Microsoft Outlook Development,Adobe InDesign,Android",Expert,1938.0,New Zealand,One-time project
"Phone,Leaflet,File Management,Castilian Spanish,Sound Editing,Spanish to English Interpretation,API",Expert,256.0,Argentina,One-time project
"Blog Content,Graphic Design,Creative Writing,Research,Sales,SEO Writing,article jobs,Traditional Animation,Content Marketing Strategy,White Paper,Technology,Writing,Article,Product Page,Evernote,About Us Page,Blog Writing,Measure Map,Article Writing",Expert,129.0,South Africa,Ongoing project
"Game Development,Web Application,Lead Generation",Entry level,798.0,Sweden,One-time project
"Data Entry,Virtual Assistant,Personal Administration,Research",Entry level,1838.0,United Kingdom,Ongoing project
English,Entry level,397.0,Netherlands,Complex project
"JavaScript,English,Copywriting,Social Media Content Creation,Mobile Advertising,Corporate Brand Identity,API",Expert,1381.0,China,One-time project
"OpenStreetMap,Operations,Web Programming,QGIS,YouTube Marketing,Adobe Photoshop,React,Odoo,API,Business Applications Consultation",Intermediate,662.0,United States,Ongoing project
"SEO,Leaflet,WordPress,API",Expert,7966.0,Canada,Ongoing project
"Resource Allocation,Latin American English Accent",Entry level,837.0,Montenegro,Ongoing project
"Blockchain Architecture,US English Dialect",Expert,8000.0,United States,Complex project
"Facebook,Residential,Copywriting",Entry level,8000.0,China,One-time project
"bubble,Adobe Premiere Pro,Customer Support,Manufacturing,Instruction Manual",Expert,1362.0,United States,Ongoing project
SEO,Expert,192.0,Canada,One-time project
"Transaction Data Entry,Graphic Design",Intermediate,1280.0,United States,Ongoing project
discord,Entry level,7765.0,France,Ongoing project
"Sales,English,Web Programming,SEO,Mapbox,PHP,Adobe Illustrator,Gaming,Construction",Expert,5.0,South Africa,One-time project
"Graphic Design,Jenkins,Blender,Game Development,PC",Entry level,506.0,United Kingdom,Ongoing project
Motion Graphics,Intermediate,7835.0,United States,Complex project
"Illustration,Graphic Design,iOS,Google Map Maker",Intermediate,1205.0,Canada,Ongoing project
"Page Speed Optimization,Content Writing",Entry level,486.0,United States,One-time project
